분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.400,45,18,3,0,1,1,6,0,4,0
주자상황별,1루,0.292,24,7,3,0,1,3,3,0,5,1
주자상황별,2루,0.000,3,0,0,0,0,0,3,0,2,0
주자상황별,3루,1.000,2,2,1,0,0,3,0,0,0,0
주자상황별,"1,2루",0.250,4,1,1,0,0,2,1,0,1,0
주자상황별,"1,3루",1.000,2,2,0,0,0,2,1,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,1,0,1,0
주자상황별,만루,0.000,1,0,0,0,0,2,1,0,0,0
주자상황별,주자있음,0.324,37,12,5,0,1,12,10,0,9,1
주자상황별,득점권,0.385,13,5,2,0,0,9,7,0,4,0
볼카운트별,0-0,0.667,12,8,2,0,1,6,0,0,0,0
볼카운트별,1-0,0.250,4,1,1,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,1,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.200,10,2,1,0,0,1,0,0,0,1
볼카운트별,1-1,0.333,6,2,1,0,0,0,0,0,0,0
볼카운트별,2-1,0.750,4,3,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.200,10,2,1,0,0,0,0,0,3,0
볼카운트별,1-2,0.300,10,3,0,0,1,2,0,0,4,0
볼카운트별,2-2,0.273,11,3,1,0,0,0,0,0,3,0
볼카운트별,3-2,0.462,13,6,1,0,0,3,8,0,3,0
이닝별,1회,0.400,20,8,3,0,0,0,1,0,2,0
이닝별,2회,0.500,4,2,1,0,0,2,1,0,0,1
이닝별,3회,0.500,10,5,2,0,0,4,2,0,1,0
이닝별,4회,0.556,9,5,0,0,2,4,0,0,1,0
이닝별,5회,0.125,8,1,0,0,0,0,2,0,3,0
이닝별,6회,0.667,9,6,1,0,0,1,3,0,1,0
이닝별,7회,0.200,10,2,0,0,0,0,3,0,4,0
이닝별,8회,0.167,6,1,1,0,0,2,3,0,1,0
이닝별,9회,0.000,5,0,0,0,0,0,1,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.441,34,15,6,0,0,6,4,0,3,1
이닝별,4~6회,0.462,26,12,1,0,2,5,5,0,5,0
이닝별,7회이후,0.136,22,3,1,0,0,2,7,0,5,0
타순별,2번타자,0.366,82,30,8,0,2,13,16,0,13,1
투수유형별,좌투수,0.263,19,5,0,0,0,1,2,0,3,0
투수유형별,우투수,0.407,59,24,8,0,2,12,13,0,9,1
투수유형별,언더투수,0.250,4,1,0,0,0,0,1,0,1,0
아웃카운트별,0아웃,0.412,17,7,2,0,1,1,4,0,2,0
아웃카운트별,1아웃,0.366,41,15,3,0,1,4,5,0,8,1
아웃카운트별,2아웃,0.333,24,8,3,0,0,8,7,0,3,0
