분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.500,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0.500
3월,03.29,키움,0.600,5,5,2,3,1,0,0,0,1,0,0,0,0,0,0.545
3월,03.31,KT,0.333,5,3,0,1,1,0,0,2,0,0,2,0,1,0,0.500
4월,04.01,KT,0.250,6,4,2,1,0,0,0,0,0,0,2,0,2,0,0.444
4월,04.02,KT,0.667,3,3,1,2,0,0,0,0,0,0,0,0,1,0,0.476
4월,04.03,두산,0.400,6,5,1,2,0,0,1,3,0,0,1,0,0,0,0.462
4월,04.04,두산,0.500,6,6,3,3,2,0,0,0,0,0,0,0,1,1,0.469
4월,04.05,두산,0.250,4,4,0,1,0,0,0,0,1,0,0,0,1,0,0.444
4월,04.07,SSG,0.333,5,3,2,1,1,0,0,0,0,0,2,0,0,0,0.436
4월,04.08,SSG,0.333,4,3,0,1,1,0,0,0,0,0,1,0,1,0,0.429
4월,04.10,KIA,0.500,4,4,1,2,0,0,0,0,1,0,0,0,0,0,0.435
4월,04.11,KIA,0.000,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0.408
4월,04.12,KIA,0.250,5,4,0,1,0,0,0,1,0,0,1,0,1,0,0.396
4월,04.14,삼성,0.250,5,4,1,1,1,0,0,2,0,0,0,0,0,0,0.386
4월,04.15,삼성,0.250,5,4,0,1,0,0,0,1,0,0,1,0,0,0,0.377
4월,04.16,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.354
4월,04.18,롯데,0.750,5,4,2,3,1,0,0,1,0,0,1,0,0,0,0.377
4월,04.19,롯데,0.333,5,3,2,1,0,0,0,1,0,0,2,0,2,0,0.375
4월,04.21,LG,0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.368
4월,04.22,LG,0.333,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0.367
4월,04.23,LG,0.333,5,3,2,1,0,0,1,1,0,0,2,0,0,0,0.366
