분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.182,11,11,0,2,0,0,0,1,0,0,0,0,4,0
상대팀별,KT,3,0.364,12,11,2,4,0,0,0,0,0,0,1,0,3,0
상대팀별,LG,2,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0
상대팀별,SSG,2,0.250,9,8,0,2,0,0,0,2,0,0,1,0,4,0
상대팀별,두산,3,0.333,13,12,1,4,1,0,0,3,0,0,1,0,1,0
상대팀별,롯데,1,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
상대팀별,삼성,3,0.111,11,9,0,1,0,0,0,0,0,0,1,0,2,0
상대팀별,키움,2,0.429,7,7,0,3,0,0,0,0,0,0,0,0,3,1
구장별,대전,11,0.263,41,38,2,10,0,0,0,1,0,0,2,0,12,1
구장별,문학,2,0.250,9,8,0,2,0,0,0,2,0,0,1,0,4,0
구장별,사직,1,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
구장별,잠실,5,0.286,15,14,1,4,1,0,0,3,0,0,1,0,2,0
월별,3~4월,19,0.262,66,61,3,16,1,0,0,6,0,0,4,0,18,1
요일별,화,4,0.200,14,10,0,2,0,0,0,2,0,0,3,0,5,0
요일별,수,4,0.267,15,15,2,4,0,0,0,0,0,0,0,0,4,0
요일별,목,2,0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0
요일별,금,2,0.250,8,8,1,2,0,0,0,0,0,0,0,0,2,0
요일별,토,3,0.364,12,11,0,4,1,0,0,3,0,0,1,0,1,1
요일별,일,4,0.250,12,12,0,3,0,0,0,1,0,0,0,0,5,0
홈/방문별,홈,11,0.263,41,38,2,10,0,0,0,1,0,0,2,0,12,1
홈/방문별,방문,8,0.261,25,23,1,6,1,0,0,5,0,0,2,0,6,0
주/야간별,주간,7,0.304,24,23,0,7,1,0,0,4,0,0,1,0,6,1
주/야간별,야간,12,0.237,42,38,3,9,0,0,0,2,0,0,3,0,12,0
기간별,전반기,19,0.262,66,61,3,16,1,0,0,6,0,0,4,0,18,1
