분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.219,32,7,0,0,0,0,3,0,8,0
주자상황별,1루,0.222,9,2,0,0,0,0,1,0,5,1
주자상황별,2루,0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.444,9,4,0,0,0,1,0,0,1,0
주자상황별,"1,3루",0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,"2,3루",0.250,4,1,1,0,0,2,0,0,1,0
주자상황별,만루,0.500,2,1,0,0,0,2,0,0,1,0
주자상황별,주자있음,0.310,29,9,1,0,0,6,1,0,10,1
주자상황별,득점권,0.350,20,7,1,0,0,6,0,0,5,0
볼카운트별,0-0,0.000,7,0,0,0,0,0,0,0,0,0
볼카운트별,1-0,0.250,8,2,0,0,0,0,0,0,0,1
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.500,8,4,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.500,2,1,0,0,0,2,0,0,0,0
볼카운트별,3-1,1.000,1,1,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.000,7,0,0,0,0,0,0,0,5,0
볼카운트별,1-2,0.294,17,5,0,0,0,1,0,0,8,0
볼카운트별,2-2,0.125,8,1,0,0,0,0,0,0,4,0
볼카운트별,3-2,0.667,3,2,1,0,0,3,0,0,1,0
이닝별,1회,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,2회,0.267,15,4,0,0,0,0,0,0,4,0
이닝별,3회,0.667,6,4,0,0,0,2,0,0,0,0
이닝별,4회,0.000,10,0,0,0,0,0,0,0,5,0
이닝별,5회,0.200,5,1,0,0,0,1,1,0,3,0
이닝별,6회,0.500,8,4,1,0,0,2,2,0,0,1
이닝별,7회,0.000,5,0,0,0,0,0,0,0,1,0
이닝별,8회,0.429,7,3,0,0,0,1,1,0,2,0
이닝별,9회,0.000,4,0,0,0,0,0,0,0,3,0
이닝별,1~3회,0.364,22,8,0,0,0,2,0,0,4,0
이닝별,4~6회,0.217,23,5,1,0,0,3,3,0,8,1
이닝별,7회이후,0.188,16,3,0,0,0,1,1,0,6,0
타순별,6번타자,0.000,8,0,0,0,0,0,1,0,3,0
타순별,7번타자,0.308,52,16,1,0,0,6,3,0,15,1
타순별,9번타자,0.000,1,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.091,11,1,0,0,0,0,0,0,4,0
투수유형별,우투수,0.267,45,12,1,0,0,6,4,0,14,1
투수유형별,언더투수,0.600,5,3,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.125,16,2,0,0,0,0,1,0,2,0
아웃카운트별,1아웃,0.190,21,4,0,0,0,0,0,0,9,1
아웃카운트별,2아웃,0.417,24,10,1,0,0,6,3,0,7,0
