분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0.333
3월,03.29,키움,0.500,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0.429
3월,03.31,KT,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.400
4월,04.01,KT,0.500,6,6,2,3,0,0,0,0,0,0,0,0,1,0,0.438
4월,04.02,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.389
4월,04.03,두산,0.400,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0.391
4월,04.04,두산,0.500,5,4,0,2,1,0,0,3,0,0,1,0,0,0,0.407
4월,04.05,두산,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.367
4월,04.07,SSG,0.250,5,4,0,1,0,0,0,2,0,0,1,0,3,0,0.353
4월,04.08,SSG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.342
4월,04.10,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.317
4월,04.11,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.311
4월,04.12,KIA,0.250,4,4,0,1,0,0,0,1,0,0,0,0,2,0,0.306
4월,04.14,삼성,0.000,5,3,0,0,0,0,0,0,0,0,1,0,1,0,0.288
4월,04.15,삼성,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.273
4월,04.16,삼성,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.276
4월,04.19,롯데,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.271
4월,04.21,LG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271
4월,04.22,LG,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.262
