연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2012,한화,0.173,70,141,127,10,22,1,0,1,26,4,7,2,9,0,50,2,0.205,0.228,6
2013,한화,0.091,5,11,11,0,1,0,0,0,1,0,0,1,0,0,4,1,0.091,0.091,1
2015,한화,0.300,4,11,10,3,3,0,0,0,3,1,0,0,1,0,4,0,0.300,0.364,0
2016,한화,0.279,115,441,405,58,113,21,1,10,166,57,5,7,18,9,115,3,0.410,0.323,19
2017,한화,0.285,111,470,432,69,123,18,8,11,190,52,7,6,23,5,83,6,0.440,0.328,9
2018,한화,0.254,141,517,484,67,123,20,3,9,176,52,14,12,28,4,130,7,0.364,0.300,18
2019,한화,0.263,5,20,19,3,5,2,0,0,7,2,0,0,0,0,4,1,0.368,0.263,2
2020,한화,0.286,72,281,262,22,75,11,0,2,92,32,4,1,13,2,66,3,0.351,0.323,9
2021,한화,0.272,138,594,525,84,143,27,3,10,206,68,23,6,51,10,135,9,0.392,0.346,14
2022,한화,0.258,125,483,445,50,115,18,2,5,152,58,20,6,31,3,126,4,0.342,0.309,19
2023,한화,0.114,25,38,35,4,4,1,0,0,5,2,0,0,2,1,10,0,0.143,0.184,2
2024,한화,0.292,64,151,137,16,40,9,1,1,54,11,1,2,10,2,33,1,0.394,0.349,7
2025,한화,0.297,95,305,276,34,82,14,0,4,108,28,2,1,12,5,66,10,0.391,0.337,2
2026,한화,0.262,19,66,61,3,16,1,0,0,17,6,0,0,4,0,18,1,0.279,0.308,3
