분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,2,0.444,9,9,3,4,0,0,0,1,1,0,0,0,2,0
상대팀별,LG,3,0.083,13,12,0,1,1,0,0,0,0,0,0,1,3,0
상대팀별,NC,1,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1
상대팀별,SSG,3,0.455,13,11,2,5,2,0,0,2,0,0,2,0,0,0
상대팀별,두산,3,0.300,12,10,0,3,1,0,0,0,0,0,2,0,2,0
상대팀별,키움,3,0.308,13,13,0,4,0,0,0,1,0,0,0,0,2,1
상대팀별,한화,2,0.143,7,7,0,1,0,0,0,0,0,0,0,0,0,1
구장별,고척,3,0.308,13,13,0,4,0,0,0,1,0,0,0,0,2,1
구장별,사직,10,0.351,41,37,5,13,3,0,0,3,1,0,4,0,4,1
구장별,잠실,3,0.083,13,12,0,1,1,0,0,0,0,0,0,1,3,0
구장별,창원,1,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1
월별,3~4월,17,0.273,71,66,5,18,4,0,0,4,1,0,4,1,11,3
요일별,화,3,0.250,13,12,1,3,0,0,0,1,0,0,1,0,4,0
요일별,수,3,0.364,12,11,2,4,1,0,0,0,1,0,1,0,1,0
요일별,목,3,0.083,13,12,0,1,1,0,0,0,0,0,0,1,4,1
요일별,금,2,0.750,8,8,1,6,1,0,0,0,0,0,0,0,1,0
요일별,토,3,0.167,13,12,1,2,1,0,0,3,0,0,1,0,1,0
요일별,일,3,0.182,12,11,0,2,0,0,0,0,0,0,1,0,0,2
홈/방문별,홈,10,0.351,41,37,5,13,3,0,0,3,1,0,4,0,4,1
홈/방문별,방문,7,0.172,30,29,0,5,1,0,0,1,0,0,0,1,7,2
주/야간별,주간,3,0.182,12,11,0,2,0,0,0,0,0,0,1,0,0,2
주/야간별,야간,14,0.291,59,55,5,16,4,0,0,4,1,0,3,1,11,1
기간별,전반기,17,0.273,71,66,5,18,4,0,0,4,1,0,4,1,11,3
