분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.361,36,13,4,0,0,0,2,0,5,0
주자상황별,1루,0.167,12,2,0,0,0,0,2,0,2,3
주자상황별,2루,0.286,7,2,0,0,0,1,0,0,1,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,1,0,0
주자상황별,"1,2루",0.000,5,0,0,0,0,0,0,0,2,0
주자상황별,"1,3루",0.000,2,0,0,0,0,1,0,0,1,0
주자상황별,만루,0.333,3,1,0,0,0,2,0,0,0,0
주자상황별,주자있음,0.167,30,5,0,0,0,4,2,1,6,3
주자상황별,득점권,0.167,18,3,0,0,0,4,0,1,4,0
볼카운트별,0-0,0.429,7,3,1,0,0,0,0,0,0,1
볼카운트별,1-0,0.333,9,3,0,0,0,2,0,0,0,0
볼카운트별,2-0,0.667,3,2,1,0,0,0,0,1,0,0
볼카운트별,0-1,0.167,6,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.273,11,3,1,0,0,0,0,0,0,0
볼카운트별,2-1,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.667,3,2,0,0,0,2,1,0,0,0
볼카운트별,0-2,0.000,4,0,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.143,7,1,0,0,0,0,0,0,3,0
볼카운트별,2-2,0.125,8,1,1,0,0,0,0,0,4,2
볼카운트별,3-2,0.200,5,1,0,0,0,0,3,0,2,0
이닝별,1회,0.500,6,3,0,0,0,2,2,1,1,0
이닝별,2회,0.125,8,1,0,0,0,0,0,0,2,0
이닝별,3회,0.125,8,1,1,0,0,0,1,0,2,0
이닝별,4회,0.444,9,4,1,0,0,0,0,0,0,1
이닝별,5회,0.333,6,2,0,0,0,0,0,0,2,0
이닝별,6회,0.125,8,1,0,0,0,0,0,0,1,2
이닝별,7회,0.286,7,2,1,0,0,0,1,0,0,0
이닝별,8회,0.429,7,3,1,0,0,0,0,0,2,0
이닝별,9회,0.167,6,1,0,0,0,1,0,0,1,0
이닝별,연장,0.000,1,0,0,0,0,1,0,0,0,0
이닝별,1~3회,0.227,22,5,1,0,0,2,3,1,5,0
이닝별,4~6회,0.304,23,7,1,0,0,0,0,0,3,3
이닝별,7회이후,0.286,21,6,2,0,0,2,1,0,3,0
타순별,3번타자,0.000,4,0,0,0,0,0,1,0,0,0
타순별,4번타자,0.278,54,15,3,0,0,4,3,1,9,2
타순별,6번타자,0.375,8,3,1,0,0,0,0,0,2,1
투수유형별,좌투수,0.217,23,5,3,0,0,2,1,0,4,0
투수유형별,우투수,0.308,39,12,1,0,0,2,3,1,5,3
투수유형별,언더투수,0.250,4,1,0,0,0,0,0,0,2,0
아웃카운트별,0아웃,0.261,23,6,0,0,0,2,0,0,2,1
아웃카운트별,1아웃,0.273,22,6,1,0,0,1,1,0,5,2
아웃카운트별,2아웃,0.286,21,6,3,0,0,1,3,1,4,0
