분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
4월,04.02,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1,0.000
4월,04.03,SSG,0.750,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0.375
4월,04.04,SSG,0.667,4,3,1,2,1,0,0,2,0,0,1,0,0,0,0.455
4월,04.05,SSG,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0.333
4월,04.07,KT,0.400,5,5,1,2,0,0,0,1,0,0,0,0,2,0,0.350
4월,04.08,KT,0.500,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0.375
4월,04.10,키움,0.750,4,4,0,3,0,0,0,0,0,0,0,0,1,0,0.429
4월,04.11,키움,0.000,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0.364
4월,04.12,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.351
4월,04.14,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.317
4월,04.15,LG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.311
4월,04.16,LG,0.000,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0.286
4월,04.18,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.264
4월,04.19,한화,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0.268
4월,04.21,두산,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.271
4월,04.22,두산,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.274
4월,04.23,두산,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.273
