분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.167,9,6,0,1,0,0,0,0,0,0,3,0,0,0
상대팀별,LG,3,0.000,8,5,0,0,0,0,0,0,0,0,3,0,1,0
상대팀별,NC,3,0.250,9,4,1,1,0,0,1,2,0,0,3,0,1,0
상대팀별,SSG,2,0.500,5,4,1,2,2,0,0,1,0,0,1,0,1,1
상대팀별,두산,2,0.143,9,7,0,1,0,0,0,0,0,0,0,0,2,0
상대팀별,삼성,2,0.500,6,4,1,2,0,0,0,0,0,0,2,0,0,0
상대팀별,키움,3,0.100,12,10,1,1,0,0,0,1,0,0,2,0,2,1
상대팀별,한화,3,0.500,13,12,5,6,2,0,1,4,0,0,1,0,0,1
구장별,광주,8,0.222,27,18,3,4,0,0,1,3,0,0,7,0,3,1
구장별,대전,3,0.500,13,12,5,6,2,0,1,4,0,0,1,0,0,1
구장별,문학,2,0.500,5,4,1,2,2,0,0,1,0,0,1,0,1,1
구장별,수원,3,0.167,9,6,0,1,0,0,0,0,0,0,3,0,0,0
구장별,잠실,5,0.083,17,12,0,1,0,0,0,0,0,0,3,0,3,0
월별,3~4월,21,0.269,71,52,9,14,4,0,2,8,0,0,15,0,7,3
요일별,화,4,0.100,15,10,0,1,0,0,0,0,0,0,5,0,2,1
요일별,수,4,0.250,13,8,2,2,0,0,0,0,0,0,5,0,1,0
요일별,목,3,0.143,7,7,0,1,0,0,0,1,0,0,0,0,0,0
요일별,금,2,0.167,7,6,1,1,0,0,1,1,0,0,0,0,0,0
요일별,토,4,0.250,13,8,1,2,1,0,0,1,0,0,4,0,3,1
요일별,일,4,0.538,16,13,5,7,3,0,1,5,0,0,1,0,1,1
홈/방문별,홈,8,0.222,27,18,3,4,0,0,1,3,0,0,7,0,3,1
홈/방문별,방문,13,0.294,44,34,6,10,4,0,1,5,0,0,8,0,4,2
주/야간별,주간,6,0.563,21,16,6,9,4,0,1,6,0,0,3,0,1,2
주/야간별,야간,15,0.139,50,36,3,5,0,0,1,2,0,0,12,0,6,1
기간별,전반기,21,0.269,71,52,9,14,4,0,2,8,0,0,15,0,7,3
