분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.259,27,7,2,0,2,2,6,0,4,0
주자상황별,1루,0.214,14,3,0,0,0,0,2,0,1,3
주자상황별,2루,0.500,2,1,0,0,0,1,3,0,0,0
주자상황별,3루,1.000,1,1,1,0,0,1,0,0,0,0
주자상황별,"1,2루",0.333,3,1,1,0,0,2,3,0,0,0
주자상황별,"1,3루",0.333,3,1,0,0,0,2,1,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,만루,0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,주자있음,0.280,25,7,2,0,0,6,9,0,3,3
주자상황별,득점권,0.364,11,4,2,0,0,6,7,0,2,0
볼카운트별,0-0,0.000,1,0,0,0,0,1,1,0,0,0
볼카운트별,1-0,1.000,3,3,0,0,0,1,0,0,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,0,1,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,5,0,0,0
볼카운트별,0-1,0.200,5,1,1,0,0,1,0,0,0,0
볼카운트별,1-1,0.167,6,1,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.667,3,2,2,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.333,6,2,0,0,1,1,0,0,0,1
볼카운트별,1-2,0.000,8,0,0,0,0,0,0,0,3,0
볼카운트별,2-2,0.400,10,4,1,0,1,4,0,0,1,2
볼카운트별,3-2,0.125,8,1,0,0,0,0,5,0,3,0
이닝별,1회,-,0,0,0,0,0,0,1,0,0,0
이닝별,2회,0.250,12,3,0,0,0,0,3,0,1,1
이닝별,3회,0.333,3,1,1,0,0,0,1,0,1,0
이닝별,4회,0.400,5,2,1,0,0,2,1,0,0,1
이닝별,5회,0.250,8,2,1,0,0,1,0,0,1,0
이닝별,6회,0.286,7,2,0,0,0,0,1,0,0,0
이닝별,7회,0.250,4,1,1,0,0,2,4,0,2,0
이닝별,8회,0.286,7,2,0,0,1,2,2,0,0,1
이닝별,9회,0.200,5,1,0,0,1,1,1,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,1,0,1,0
이닝별,1~3회,0.267,15,4,1,0,0,0,5,0,2,1
이닝별,4~6회,0.300,20,6,2,0,0,3,2,0,1,1
이닝별,7회이후,0.235,17,4,1,0,2,5,8,0,4,1
타순별,6번타자,0.083,12,1,0,0,0,1,4,0,4,0
타순별,7번타자,0.370,27,10,2,0,1,5,7,0,1,2
타순별,8번타자,0.231,13,3,2,0,1,2,3,0,2,1
타순별,9번타자,-,0,0,0,0,0,0,1,0,0,0
투수유형별,좌투수,0.412,17,7,3,0,1,2,6,0,1,1
투수유형별,우투수,0.182,33,6,1,0,1,6,9,0,6,2
투수유형별,언더투수,0.500,2,1,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.400,15,6,1,0,1,2,2,0,4,1
아웃카운트별,1아웃,0.111,18,2,1,0,0,0,7,0,2,2
아웃카운트별,2아웃,0.316,19,6,2,0,1,6,6,0,1,0
