분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,SSG,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000
3월,03.29,SSG,0.500,4,4,1,2,2,0,0,1,0,0,0,0,1,1,0.500
3월,03.31,LG,0.000,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0.286
4월,04.01,LG,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286
4월,04.02,LG,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.222
4월,04.03,NC,0.500,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0.273
4월,04.04,NC,0.000,3,1,0,0,0,0,0,0,0,0,2,0,1,0,0.250
4월,04.05,NC,0.000,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0.231
4월,04.07,삼성,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.214
4월,04.08,삼성,0.667,5,3,1,2,0,0,0,0,0,0,2,0,0,0,0.294
4월,04.10,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.238
4월,04.11,한화,0.667,4,3,1,2,1,0,0,1,0,0,1,0,0,1,0.292
4월,04.12,한화,0.800,5,5,4,4,1,0,1,3,0,0,0,0,0,0,0.379
4월,04.14,키움,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,1,0.344
4월,04.15,키움,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.314
4월,04.16,키움,0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.308
4월,04.18,두산,0.000,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0.279
4월,04.19,두산,0.333,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0.283
4월,04.21,KT,0.333,5,3,0,1,0,0,0,0,0,0,2,0,0,0,0.286
4월,04.22,KT,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.275
4월,04.23,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.269
