분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,1,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0
상대팀별,LG,3,0.200,12,10,2,2,1,0,0,0,2,0,2,0,2,0
상대팀별,NC,3,0.250,11,8,1,2,0,0,0,0,0,0,2,1,4,0
상대팀별,SSG,3,0.250,10,8,1,2,1,0,0,0,1,0,2,0,1,0
상대팀별,두산,3,0.417,12,12,1,5,0,0,0,1,0,0,0,0,1,0
상대팀별,삼성,2,0.286,8,7,1,2,1,0,0,0,0,0,1,0,1,0
상대팀별,키움,3,0.364,12,11,1,4,0,0,0,0,1,0,0,0,3,0
상대팀별,한화,2,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
구장별,고척,3,0.364,12,11,1,4,0,0,0,0,1,0,0,0,3,0
구장별,대구,2,0.286,8,7,1,2,1,0,0,0,0,0,1,0,1,0
구장별,사직,9,0.320,27,25,2,8,1,0,0,1,1,0,2,0,2,0
구장별,잠실,3,0.200,12,10,2,2,1,0,0,0,2,0,2,0,2,0
구장별,창원,3,0.250,11,8,1,2,0,0,0,0,0,0,2,1,4,0
월별,3~4월,20,0.295,70,61,7,18,3,0,0,1,4,0,7,1,12,0
요일별,화,4,0.333,16,15,1,5,0,0,0,0,0,0,1,0,2,0
요일별,수,3,0.400,12,10,1,4,1,0,0,0,1,0,2,0,3,0
요일별,목,3,0.111,11,9,2,1,0,0,0,1,1,0,1,1,2,0
요일별,금,2,0.500,5,4,1,2,0,0,0,0,0,0,1,0,2,0
요일별,토,4,0.273,13,11,0,3,0,0,0,0,2,0,1,0,1,0
요일별,일,4,0.250,13,12,2,3,2,0,0,0,0,0,1,0,2,0
홈/방문별,홈,9,0.320,27,25,2,8,1,0,0,1,1,0,2,0,2,0
홈/방문별,방문,11,0.278,43,36,5,10,2,0,0,0,3,0,5,1,10,0
주/야간별,주간,5,0.250,17,16,2,4,2,0,0,0,0,0,1,0,3,0
주/야간별,야간,15,0.311,53,45,5,14,1,0,0,1,4,0,6,1,9,0
기간별,전반기,20,0.295,70,61,7,18,3,0,0,1,4,0,7,1,12,0
