분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.361,36,13,3,0,0,0,6,1,6,0
주자상황별,1루,0.333,9,3,0,0,0,0,0,0,1,0
주자상황별,2루,0.200,5,1,0,0,0,0,1,0,0,0
주자상황별,3루,0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.167,6,1,0,0,0,0,0,0,3,0
주자상황별,"1,3루",0.000,2,0,0,0,0,1,0,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,주자있음,0.200,25,5,0,0,0,1,1,0,6,0
주자상황별,득점권,0.125,16,2,0,0,0,1,1,0,5,0
볼카운트별,0-0,0.250,8,2,0,0,0,0,0,0,0,0
볼카운트별,1-0,0.200,5,1,0,0,0,0,0,1,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,1.000,2,2,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.500,2,1,1,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.143,7,1,1,0,0,0,0,0,4,0
볼카운트별,1-2,0.455,11,5,0,0,0,0,0,0,3,0
볼카운트별,2-2,0.167,12,2,1,0,0,1,0,0,3,0
볼카운트별,3-2,0.300,10,3,0,0,0,0,2,0,2,0
이닝별,1회,0.333,3,1,0,0,0,0,0,0,1,0
이닝별,2회,0.273,11,3,0,0,0,0,1,0,3,0
이닝별,3회,0.167,6,1,0,0,0,0,0,0,1,0
이닝별,4회,0.300,10,3,1,0,0,1,0,0,3,0
이닝별,5회,0.500,6,3,2,0,0,0,1,1,0,0
이닝별,6회,0.333,6,2,0,0,0,0,1,0,3,0
이닝별,7회,0.333,6,2,0,0,0,0,2,0,1,0
이닝별,8회,0.286,7,2,0,0,0,0,1,0,0,0
이닝별,9회,0.200,5,1,0,0,0,0,1,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.250,20,5,0,0,0,0,1,0,5,0
이닝별,4~6회,0.364,22,8,3,0,0,1,2,1,6,0
이닝별,7회이후,0.263,19,5,0,0,0,0,4,0,1,0
타순별,1번타자,0.375,8,3,0,0,0,1,0,0,1,0
타순별,4번타자,0.000,1,0,0,0,0,0,0,0,0,0
타순별,6번타자,0.167,12,2,0,0,0,0,0,0,3,0
타순별,7번타자,0.370,27,10,3,0,0,0,4,0,6,0
타순별,8번타자,0.222,9,2,0,0,0,0,3,1,2,0
타순별,9번타자,0.250,4,1,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.286,14,4,2,0,0,1,0,0,1,0
투수유형별,우투수,0.262,42,11,1,0,0,0,7,1,10,0
투수유형별,언더투수,0.600,5,3,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.269,26,7,0,0,0,0,2,1,3,0
아웃카운트별,1아웃,0.412,17,7,3,0,0,0,4,0,2,0
아웃카운트별,2아웃,0.222,18,4,0,0,0,1,1,0,7,0
