분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.250
3월,03.29,삼성,0.333,4,3,1,1,1,0,0,0,0,0,1,0,0,0,0.286
3월,03.31,NC,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.300
4월,04.01,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.286
4월,04.02,NC,0.000,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0.267
4월,04.03,SSG,1.000,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0.313
4월,04.04,SSG,0.000,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0.263
4월,04.05,SSG,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.261
4월,04.07,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.259
4월,04.10,키움,0.333,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0.267
4월,04.11,키움,0.500,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0.294
4월,04.12,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.289
4월,04.14,LG,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.286
4월,04.15,LG,0.500,4,2,1,1,1,0,0,0,1,0,2,0,0,0,0.295
4월,04.16,LG,0.000,4,4,0,0,0,0,0,0,1,0,0,0,2,0,0.271
4월,04.18,한화,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271
4월,04.19,한화,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.265
4월,04.21,두산,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.283
4월,04.22,두산,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.298
4월,04.23,두산,0.250,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0.295
