분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.083,12,12,1,1,1,0,0,1,1,0,0,0,3,0
상대팀별,KT,2,0.286,11,7,2,2,0,0,0,0,1,0,4,0,3,0
상대팀별,NC,2,0.000,10,8,0,0,0,0,0,0,0,0,2,0,3,0
상대팀별,SSG,3,0.000,9,6,1,0,0,0,0,1,0,0,1,2,2,0
상대팀별,롯데,3,0.143,11,7,0,1,0,0,0,0,0,0,3,1,3,0
상대팀별,삼성,1,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,1
상대팀별,키움,3,0.333,16,12,2,4,1,0,0,1,0,0,4,0,1,0
구장별,고척,3,0.333,16,12,2,4,1,0,0,1,0,0,4,0,1,0
구장별,대구,1,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,1
구장별,잠실,11,0.125,43,32,4,4,1,0,0,2,2,0,8,3,11,0
구장별,창원,2,0.000,10,8,0,0,0,0,0,0,0,0,2,0,3,0
월별,3~4월,17,0.148,72,54,6,8,2,0,0,3,2,0,15,3,16,1
요일별,화,3,0.000,12,10,0,0,0,0,0,0,0,0,2,0,3,0
요일별,수,3,0.167,13,12,1,2,1,0,0,1,1,0,1,0,3,0
요일별,목,2,0.000,8,5,0,0,0,0,0,0,0,0,2,1,3,0
요일별,금,2,0.125,10,8,1,1,1,0,0,0,0,0,1,1,2,0
요일별,토,4,0.300,15,10,1,3,0,0,0,1,1,0,5,0,3,1
요일별,일,3,0.222,14,9,3,2,0,0,0,1,0,0,4,1,2,0
홈/방문별,홈,11,0.125,43,32,4,4,1,0,0,2,2,0,8,3,11,0
홈/방문별,방문,6,0.182,29,22,2,4,1,0,0,1,0,0,7,0,5,1
주/야간별,주간,5,0.214,23,14,4,3,0,0,0,1,1,0,8,1,5,1
주/야간별,야간,12,0.125,49,40,2,5,2,0,0,2,1,0,7,2,11,0
기간별,전반기,17,0.148,72,54,6,8,2,0,0,3,2,0,15,3,16,1
