분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.161,31,5,1,0,0,0,10,0,10,0
주자상황별,1루,0.111,9,1,1,0,0,0,3,0,4,0
주자상황별,2루,0.000,4,0,0,0,0,0,0,0,1,0
주자상황별,3루,0.000,3,0,0,0,0,2,0,1,1,0
주자상황별,"1,2루",0.250,4,1,0,0,0,0,1,2,0,1
주자상황별,"1,3루",0.333,3,1,0,0,0,1,0,0,0,0
주자상황별,"2,3루",-,0,0,0,0,0,0,1,0,0,0
주자상황별,주자있음,0.130,23,3,1,0,0,3,5,3,6,1
주자상황별,득점권,0.143,14,2,0,0,0,3,2,3,2,1
볼카운트별,0-0,0.000,1,0,0,0,0,0,0,1,0,0
볼카운트별,1-0,0.333,3,1,0,0,0,1,0,1,0,0
볼카운트별,2-0,-,0,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.000,3,0,0,0,0,1,0,0,0,0
볼카운트별,1-1,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.333,3,1,0,0,0,1,2,0,0,0
볼카운트별,0-2,0.273,11,3,0,0,0,0,0,0,7,0
볼카운트별,1-2,0.083,12,1,1,0,0,0,0,0,3,1
볼카운트별,2-2,0.077,13,1,1,0,0,0,0,0,4,0
볼카운트별,3-2,0.167,6,1,0,0,0,0,9,1,2,0
이닝별,1회,0.222,9,2,0,0,0,0,2,0,4,0
이닝별,2회,0.000,5,0,0,0,0,0,3,0,3,0
이닝별,3회,0.167,6,1,0,0,0,0,2,0,0,0
이닝별,4회,0.000,7,0,0,0,0,1,3,0,1,1
이닝별,5회,0.200,5,1,0,0,0,0,1,1,0,0
이닝별,6회,0.250,4,1,1,0,0,0,2,1,1,0
이닝별,7회,0.167,6,1,1,0,0,0,1,1,2,0
이닝별,8회,0.250,8,2,0,0,0,2,1,0,3,0
이닝별,9회,0.000,4,0,0,0,0,0,0,0,2,0
이닝별,1~3회,0.150,20,3,0,0,0,0,7,0,7,0
이닝별,4~6회,0.125,16,2,1,0,0,1,6,2,2,1
이닝별,7회이후,0.167,18,3,1,0,0,2,2,1,7,0
타순별,1번타자,0.179,39,7,2,0,0,2,10,0,10,0
타순별,6번타자,0.000,4,0,0,0,0,0,0,1,2,0
타순별,7번타자,0.100,10,1,0,0,0,1,5,2,4,1
타순별,8번타자,0.000,1,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.154,13,2,1,0,0,1,3,1,4,1
투수유형별,우투수,0.146,41,6,1,0,0,2,12,2,12,0
아웃카운트별,0아웃,0.200,20,4,0,0,0,0,3,1,7,0
아웃카운트별,1아웃,0.050,20,1,1,0,0,2,4,2,4,1
아웃카운트별,2아웃,0.214,14,3,1,0,0,1,8,0,5,0
