분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,0.333,6,3,1,1,0,0,0,0,1,0,3,0,2,0,0.333
3월,03.29,KT,0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.286
3월,03.31,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.200
4월,04.01,KIA,0.200,5,5,1,1,1,0,0,1,1,0,0,0,1,0,0.200
4월,04.02,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.158
4월,04.03,키움,0.250,5,4,1,1,1,0,0,0,0,0,1,0,0,0,0.174
4월,04.04,키움,0.500,5,4,0,2,0,0,0,1,0,0,1,0,0,0,0.222
4월,04.05,키움,0.250,6,4,1,1,0,0,0,0,0,0,2,0,1,0,0.226
4월,04.07,NC,0.000,5,4,0,0,0,0,0,0,0,0,1,0,2,0,0.200
4월,04.08,NC,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.179
4월,04.10,SSG,0.000,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0.163
4월,04.11,SSG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.159
4월,04.12,SSG,0.000,3,1,1,0,0,0,0,1,0,0,1,1,0,0,0.156
4월,04.14,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.146
4월,04.15,롯데,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.157
4월,04.16,롯데,0.000,4,1,0,0,0,0,0,0,0,0,2,1,1,0,0.154
4월,04.18,삼성,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,1,0.148
