연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2016,LG,0.000,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.200,0
2018,LG,0.167,12,25,18,1,3,2,0,0,5,0,0,1,7,0,8,0,0.278,0.400,0
2019,LG,0.250,23,26,24,3,6,2,0,0,8,0,3,0,1,1,12,1,0.333,0.308,0
2020,LG,0.279,135,507,408,87,114,29,6,5,170,39,11,5,83,10,87,8,0.417,0.411,2
2021,LG,0.328,144,651,524,103,172,26,2,4,214,52,23,8,109,16,95,6,0.408,0.456,2
2022,LG,0.286,118,525,437,76,125,19,4,1,155,51,13,4,59,19,75,11,0.355,0.390,1
2023,LG,0.332,141,643,524,109,174,35,2,1,216,65,23,23,88,22,83,6,0.412,0.444,2
2024,LG,0.336,139,637,524,96,176,18,3,5,215,73,10,11,96,12,93,8,0.410,0.447,10
2025,LG,0.287,51,215,174,32,50,4,0,1,57,16,3,0,29,6,40,4,0.328,0.399,0
2026,LG,0.148,17,72,54,6,8,2,0,0,10,3,2,0,15,3,16,1,0.185,0.361,0
