분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.462,14,13,4,6,1,0,0,0,0,0,1,0,3,0
상대팀별,LG,2,0.375,10,8,2,3,0,0,1,3,0,0,1,0,1,0
상대팀별,NC,3,0.000,13,12,2,0,0,0,0,0,0,0,1,0,5,0
상대팀별,두산,3,0.182,14,11,1,2,0,0,0,1,0,0,3,0,4,0
상대팀별,롯데,2,0.167,8,6,1,1,0,0,1,2,0,0,1,0,2,0
상대팀별,삼성,3,0.273,13,11,2,3,0,0,1,2,0,0,1,0,5,1
상대팀별,키움,3,0.182,12,11,0,2,1,0,0,1,1,0,1,0,1,0
상대팀별,한화,3,0.214,17,14,4,3,1,1,0,3,1,0,3,0,5,0
구장별,대전,3,0.214,17,14,4,3,1,1,0,3,1,0,3,0,5,0
구장별,사직,2,0.167,8,6,1,1,0,0,1,2,0,0,1,0,2,0
구장별,수원,12,0.283,53,46,7,13,2,0,1,4,1,0,6,0,13,1
구장별,잠실,2,0.375,10,8,2,3,0,0,1,3,0,0,1,0,1,0
구장별,창원,3,0.000,13,12,2,0,0,0,0,0,0,0,1,0,5,0
월별,3~4월,22,0.233,101,86,16,20,3,1,3,12,2,0,12,0,26,1
요일별,화,4,0.167,20,18,1,3,0,1,0,3,0,0,1,0,7,0
요일별,수,4,0.294,17,17,4,5,2,0,1,2,0,0,0,0,4,0
요일별,목,3,0.200,15,10,6,2,0,0,0,0,1,0,5,0,4,0
요일별,금,3,0.308,14,13,2,4,0,0,1,3,1,0,1,0,3,0
요일별,토,4,0.267,18,15,2,4,0,0,1,3,0,0,2,0,3,1
요일별,일,4,0.154,17,13,1,2,1,0,0,1,0,0,3,0,5,0
홈/방문별,홈,12,0.283,53,46,7,13,2,0,1,4,1,0,6,0,13,1
홈/방문별,방문,10,0.175,48,40,9,7,1,1,2,8,1,0,6,0,13,0
주/야간별,주간,4,0.308,18,13,3,4,0,0,1,4,0,0,3,0,4,0
주/야간별,야간,18,0.219,83,73,13,16,3,1,2,8,2,0,9,0,22,1
기간별,전반기,22,0.233,101,86,16,20,3,1,3,12,2,0,12,0,26,1
