분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.220,41,9,1,0,2,2,5,0,13,0
주자상황별,1루,0.300,20,6,2,0,0,0,4,0,1,1
주자상황별,2루,0.143,7,1,0,0,1,2,1,0,5,0
주자상황별,3루,0.000,2,0,0,0,0,1,0,0,2,0
주자상황별,"1,2루",0.250,12,3,0,1,0,4,1,0,3,0
주자상황별,"1,3루",-,0,0,0,0,0,0,1,0,0,0
주자상황별,"2,3루",0.500,2,1,0,0,0,1,0,0,1,0
주자상황별,만루,0.000,2,0,0,0,0,2,0,0,1,0
주자상황별,주자있음,0.244,45,11,2,1,1,10,7,0,13,1
주자상황별,득점권,0.200,25,5,0,1,1,10,3,0,12,0
볼카운트별,0-0,0.333,12,4,0,1,1,4,0,0,0,0
볼카운트별,1-0,0.333,6,2,1,0,0,1,0,0,0,1
볼카운트별,2-0,1.000,2,2,0,0,1,2,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.364,11,4,1,0,1,2,0,0,0,0
볼카운트별,1-1,0.286,7,2,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.000,3,0,0,0,0,1,0,0,0,0
볼카운트별,3-1,1.000,1,1,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.200,5,1,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.190,21,4,1,0,0,1,0,0,10,0
볼카운트별,2-2,0.000,11,0,0,0,0,0,0,0,9,0
볼카운트별,3-2,0.000,7,0,0,0,0,0,4,0,5,0
이닝별,1회,0.091,11,1,0,0,0,0,3,0,4,0
이닝별,2회,0.625,8,5,0,0,2,2,1,0,1,0
이닝별,3회,0.222,9,2,0,0,0,3,1,0,2,0
이닝별,4회,0.000,9,0,0,0,0,0,0,0,4,0
이닝별,5회,0.100,10,1,1,0,0,0,1,0,2,1
이닝별,6회,0.143,7,1,0,0,0,1,3,0,4,0
이닝별,7회,0.200,15,3,1,0,1,3,1,0,6,0
이닝별,8회,0.250,8,2,0,0,0,1,2,0,3,0
이닝별,9회,0.500,8,4,1,1,0,2,0,0,0,0
이닝별,연장,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.286,28,8,0,0,2,5,5,0,7,0
이닝별,4~6회,0.077,26,2,1,0,0,1,4,0,10,1
이닝별,7회이후,0.313,32,10,2,1,1,6,3,0,9,0
타순별,4번타자,0.222,54,12,1,1,3,11,9,0,20,1
타순별,5번타자,0.286,28,8,2,0,0,1,3,0,6,0
타순별,7번타자,0.000,4,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.148,27,4,1,0,1,3,3,0,13,0
투수유형별,우투수,0.276,58,16,2,1,2,9,8,0,13,1
투수유형별,언더투수,0.000,1,0,0,0,0,0,1,0,0,0
아웃카운트별,0아웃,0.242,33,8,2,1,2,4,4,0,10,1
아웃카운트별,1아웃,0.185,27,5,0,0,0,3,4,0,9,0
아웃카운트별,2아웃,0.269,26,7,1,0,1,5,4,0,7,0
