분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,LG,0.750,5,4,2,3,0,0,1,3,0,0,0,0,0,0,0.750
3월,03.29,LG,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.375
3월,03.31,한화,0.167,6,6,1,1,0,1,0,2,0,0,0,0,1,0,0.286
4월,04.01,한화,0.400,5,5,1,2,1,0,0,1,0,0,0,0,2,0,0.316
4월,04.02,한화,0.000,6,3,2,0,0,0,0,0,1,0,3,0,2,0,0.273
4월,04.03,삼성,0.250,4,4,1,1,0,0,1,1,0,0,0,0,2,0,0.269
4월,04.04,삼성,0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,1,0.258
4월,04.05,삼성,0.500,4,2,1,1,0,0,0,1,0,0,1,0,1,0,0.273
4월,04.07,롯데,0.000,5,3,0,0,0,0,0,1,0,0,1,0,1,0,0.250
4월,04.08,롯데,0.333,3,3,1,1,0,0,1,1,0,0,0,0,1,0,0.256
4월,04.10,두산,0.400,6,5,1,2,0,0,0,1,0,0,1,0,1,0,0.273
4월,04.11,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.255
4월,04.12,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.240
4월,04.14,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0.222
4월,04.15,NC,0.000,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0.207
4월,04.16,NC,0.000,5,4,1,0,0,0,0,0,0,0,1,0,2,0,0.194
4월,04.17,키움,0.250,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0.197
4월,04.18,키움,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.188
4월,04.19,키움,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.192
4월,04.21,KIA,0.400,5,5,0,2,0,0,0,0,0,0,0,0,2,0,0.205
4월,04.22,KIA,0.400,5,5,1,2,1,0,0,0,0,0,0,0,1,0,0.217
4월,04.23,KIA,0.667,4,3,3,2,0,0,0,0,0,0,1,0,0,0,0.233
