분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,0.00,0,0,0,0,-,23,6,1,0,4,0,9,0,0,0.053
상대팀별,NC,1,9.00,0,0,0,0,-,19,4,5,2,2,0,5,4,4,0.294
상대팀별,SSG,1,2.57,0,1,0,0,0.000,29,7,7,0,1,0,10,2,2,0.250
상대팀별,롯데,1,1.50,1,0,0,0,1.000,24,6,6,0,1,0,7,1,1,0.261
상대팀별,한화,1,5.79,0,1,0,0,0.000,26,4 2/3,7,0,4,1,4,6,3,0.350
구장별,문학,1,2.57,0,1,0,0,0.000,29,7,7,0,1,0,10,2,2,0.250
구장별,사직,1,1.50,1,0,0,0,1.000,24,6,6,0,1,0,7,1,1,0.261
구장별,수원,1,0.00,0,0,0,0,-,23,6,1,0,4,0,9,0,0,0.053
구장별,잠실,1,5.79,0,1,0,0,0.000,26,4 2/3,7,0,4,1,4,6,3,0.350
구장별,창원,1,9.00,0,0,0,0,-,19,4,5,2,2,0,5,4,4,0.294
월별,3~4월,5,3.25,1,2,0,0,0.333,121,27 2/3,26,2,12,1,35,13,10,0.243
요일별,수,1,1.50,1,0,0,0,1.000,24,6,6,0,1,0,7,1,1,0.261
요일별,목,1,2.57,0,1,0,0,0.000,29,7,7,0,1,0,10,2,2,0.250
요일별,금,1,0.00,0,0,0,0,-,23,6,1,0,4,0,9,0,0,0.053
요일별,토,1,5.79,0,1,0,0,0.000,26,4 2/3,7,0,4,1,4,6,3,0.350
요일별,일,1,9.00,0,0,0,0,-,19,4,5,2,2,0,5,4,4,0.294
홈/방문별,홈,1,5.79,0,1,0,0,0.000,26,4 2/3,7,0,4,1,4,6,3,0.350
홈/방문별,방문,4,2.74,1,1,0,0,0.500,95,23,19,2,8,0,31,7,7,0.218
주/야간별,주간,2,7.27,0,1,0,0,0.000,45,8 2/3,12,2,6,1,9,10,7,0.324
주/야간별,야간,3,1.42,1,1,0,0,0.500,76,19,14,0,6,0,26,3,3,0.200
기간별,전반기,5,3.25,1,2,0,0,0.333,121,27 2/3,26,2,12,1,35,13,10,0.243
