분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,15,2,0,1,7,1,19,0,0,0.278
주자상황별,1루,7,1,0,1,3,0,11,0,0,0.219
주자상황별,"1,2루",1,0,0,0,0,0,2,1,0,0.111
주자상황별,만루,1,0,0,0,0,0,0,0,0,1.000
주자상황별,"1,3루",0,0,0,0,1,0,0,1,0,0.000
주자상황별,2루,0,0,0,0,0,0,0,0,0,0.000
주자상황별,"2,3루",1,1,0,0,1,0,1,0,0,0.500
주자상황별,3루,1,0,0,0,0,0,2,0,0,0.250
주자상황별,주자있음,11,2,0,1,5,0,16,2,0,0.208
주자상황별,득점권,4,1,0,0,2,0,5,2,0,0.190
볼카운트별,0-0,7,0,0,1,0,0,0,0,0,0.500
볼카운트별,1-0,2,0,0,0,0,1,0,0,0,0.333
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,0,0,0,0,4,0,0,0,0,-
볼카운트별,0-1,1,0,0,0,0,0,0,0,0,0.167
볼카운트별,1-1,6,0,0,1,0,0,0,0,0,0.600
볼카운트별,2-1,1,0,0,0,0,0,0,1,0,0.143
볼카운트별,3-1,0,0,0,0,1,0,0,0,0,0.000
볼카운트별,0-2,4,2,0,0,0,0,4,0,0,0.286
볼카운트별,1-2,4,1,0,0,0,0,12,1,0,0.200
볼카운트별,2-2,0,0,0,0,0,0,12,0,0,0.000
볼카운트별,3-2,1,1,0,0,7,0,7,0,0,0.091
이닝별,1회,7,2,0,0,4,0,8,0,0,0.318
이닝별,2회,1,0,0,0,1,0,9,0,0,0.067
이닝별,3회,3,0,0,0,1,0,5,1,0,0.167
이닝별,4회,6,2,0,2,2,1,5,0,0,0.286
이닝별,5회,4,0,0,0,3,0,3,0,0,0.267
이닝별,6회,2,0,0,0,0,0,4,0,0,0.200
이닝별,7회,3,0,0,0,1,0,1,1,0,0.500
이닝별,1~3회,11,2,0,0,6,0,22,1,0,0.200
이닝별,4~6회,12,2,0,2,5,1,12,0,0,0.261
이닝별,7회이후,3,0,0,0,1,0,1,1,0,0.500
타순별,1번타자,4,0,0,0,1,0,3,0,0,0.267
타순별,2번타자,3,1,0,0,0,0,5,0,0,0.200
타순별,3번타자,3,3,0,0,4,0,4,0,0,0.300
타순별,4번타자,1,0,0,0,2,0,5,1,0,0.083
타순별,5번타자,5,0,0,1,1,0,4,0,0,0.385
타순별,6번타자,3,0,0,0,0,0,4,0,0,0.250
타순별,7번타자,3,0,0,1,0,0,4,0,0,0.250
타순별,8번타자,0,0,0,0,1,1,4,0,0,0.000
타순별,9번타자,4,0,0,0,3,0,2,1,0,0.500
타순별,상위(1~2번),7,1,0,0,1,0,8,0,0,0.233
타순별,중심(3~5번),9,3,0,1,7,0,13,1,0,0.257
타순별,하위(6~9번),10,0,0,1,4,1,14,1,0,0.238
타자유형별,좌타자,14,3,0,0,8,0,16,1,0,0.269
타자유형별,우타자,12,1,0,2,4,1,19,1,0,0.218
아웃카운트별,0아웃,11,4,0,0,3,0,11,0,0,0.282
아웃카운트별,1아웃,11,0,0,2,0,1,10,0,0,0.282
아웃카운트별,2아웃,4,0,0,0,9,0,14,2,0,0.138
