분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,0.00,1,0,0,0,1.000,22,6,1,0,3,0,6,0,0,0.056
상대팀별,KT,1,5.06,0,0,0,0,-,24,5 1/3,5,0,2,0,4,3,3,0.238
상대팀별,두산,1,0.00,1,0,0,0,1.000,18,5,2,0,1,0,3,0,0,0.118
상대팀별,삼성,1,6.00,0,0,0,0,-,26,6,7,2,2,0,2,4,4,0.292
상대팀별,키움,1,1.50,1,0,0,0,1.000,23,6,4,0,1,1,3,1,1,0.190
구장별,고척,1,1.50,1,0,0,0,1.000,23,6,4,0,1,1,3,1,1,0.190
구장별,광주,1,0.00,1,0,0,0,1.000,22,6,1,0,3,0,6,0,0,0.056
구장별,대구,1,6.00,0,0,0,0,-,26,6,7,2,2,0,2,4,4,0.292
구장별,창원,2,2.61,1,0,0,0,1.000,42,10 1/3,7,0,3,0,7,3,3,0.184
월별,3~4월,5,2.54,3,0,0,0,1.000,113,28 1/3,19,2,9,1,18,8,8,0.188
요일별,목,2,3.18,1,0,0,0,1.000,47,11 1/3,9,0,3,1,7,4,4,0.214
요일별,금,2,3.00,1,0,0,0,1.000,48,12,8,2,5,0,8,4,4,0.190
요일별,토,1,0.00,1,0,0,0,1.000,18,5,2,0,1,0,3,0,0,0.118
홈/방문별,홈,2,2.61,1,0,0,0,1.000,42,10 1/3,7,0,3,0,7,3,3,0.184
홈/방문별,방문,3,2.50,2,0,0,0,1.000,71,18,12,2,6,1,11,5,5,0.190
주/야간별,주간,1,0.00,1,0,0,0,1.000,18,5,2,0,1,0,3,0,0,0.118
주/야간별,야간,4,3.09,2,0,0,0,1.000,95,23 1/3,17,2,8,1,15,8,8,0.202
기간별,전반기,5,2.54,3,0,0,0,1.000,113,28 1/3,19,2,9,1,18,8,8,0.188
