분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,12,1,0,2,5,0,16,0,0,0.207
주자상황별,1루,4,0,0,0,2,0,1,0,0,0.267
주자상황별,"1,2루",1,0,0,0,1,0,2,0,0,0.250
주자상황별,만루,1,0,0,0,0,0,0,0,0,1.000
주자상황별,"1,3루",0,0,0,0,0,0,0,0,0,-
주자상황별,2루,0,0,0,0,0,0,3,0,0,0.000
주자상황별,"2,3루",0,0,0,0,0,0,2,0,0,0.000
주자상황별,주자있음,6,0,0,0,3,0,8,0,0,0.214
주자상황별,득점권,2,0,0,0,1,0,7,0,0,0.154
볼카운트별,0-0,2,0,0,1,0,0,0,0,0,0.400
볼카운트별,1-0,2,0,0,0,0,0,0,0,0,0.333
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,0,0,0,0,3,0,0,0,0,-
볼카운트별,0-1,2,0,0,1,0,0,0,0,0,0.333
볼카운트별,1-1,2,0,0,0,0,0,0,0,0,0.286
볼카운트별,2-1,3,0,0,0,0,0,0,0,0,0.750
볼카운트별,3-1,0,0,0,0,1,0,0,0,0,0.000
볼카운트별,0-2,2,0,0,0,0,0,2,0,0,0.250
볼카운트별,1-2,2,1,0,0,0,0,12,0,0,0.091
볼카운트별,2-2,1,0,0,0,0,0,7,0,0,0.063
볼카운트별,3-2,2,0,0,0,4,0,3,0,0,0.250
이닝별,1회,2,0,0,0,0,0,4,0,0,0.154
이닝별,2회,5,0,0,1,3,0,3,0,0,0.313
이닝별,3회,4,0,0,0,0,0,5,0,0,0.267
이닝별,4회,0,0,0,0,0,0,5,0,0,0.000
이닝별,5회,6,1,0,1,3,0,4,0,0,0.353
이닝별,6회,1,0,0,0,1,0,1,0,0,0.167
이닝별,7회,0,0,0,0,1,0,0,0,0,0.000
이닝별,8회,0,0,0,0,0,0,2,0,0,0.000
이닝별,1~3회,11,0,0,1,3,0,12,0,0,0.250
이닝별,4~6회,7,1,0,1,4,0,10,0,0,0.200
이닝별,7회이후,0,0,0,0,1,0,2,0,0,0.000
타순별,1번타자,1,0,0,0,0,0,2,0,0,0.083
타순별,2번타자,3,0,0,0,1,0,3,0,0,0.273
타순별,3번타자,3,0,0,0,0,0,3,0,0,0.273
타순별,4번타자,3,0,0,1,2,0,3,0,0,0.333
타순별,5번타자,0,0,0,0,1,0,2,0,0,0.000
타순별,6번타자,1,0,0,0,1,0,3,0,0,0.125
타순별,7번타자,3,1,0,0,0,0,1,0,0,0.300
타순별,8번타자,0,0,0,0,3,0,2,0,0,0.000
타순별,9번타자,4,0,0,1,0,0,5,0,0,0.444
타순별,상위(1~2번),4,0,0,0,1,0,5,0,0,0.174
타순별,중심(3~5번),6,0,0,1,3,0,8,0,0,0.200
타순별,하위(6~9번),8,1,0,1,4,0,11,0,0,0.242
타자유형별,좌타자,10,1,0,2,2,0,8,0,0,0.270
타자유형별,우타자,8,0,0,0,6,0,16,0,0,0.163
아웃카운트별,0아웃,4,0,0,2,2,0,5,0,0,0.143
아웃카운트별,1아웃,7,1,0,0,2,0,7,0,0,0.233
아웃카운트별,2아웃,7,0,0,0,4,0,12,0,0,0.250
