분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,0.00,0,1,0,0,0.000,19,4,2,0,3,1,6,2,0,0.143
상대팀별,LG,1,1.59,0,0,0,0,-,25,5 2/3,7,0,3,0,1,1,1,0.318
상대팀별,NC,1,3.60,0,0,0,0,-,23,5,7,1,1,0,4,2,2,0.333
상대팀별,두산,1,2.57,0,1,0,0,0.000,26,7,4,0,1,1,5,2,2,0.174
구장별,사직,2,1.64,0,2,0,0,0.000,45,11,6,0,4,2,11,4,2,0.162
구장별,잠실,1,1.59,0,0,0,0,-,25,5 2/3,7,0,3,0,1,1,1,0.318
구장별,창원,1,3.60,0,0,0,0,-,23,5,7,1,1,0,4,2,2,0.333
월별,3~4월,4,2.08,0,2,0,0,0.000,93,21 2/3,20,1,8,2,16,7,5,0.250
요일별,화,3,1.62,0,2,0,0,0.000,70,16 2/3,13,0,7,2,12,5,3,0.220
요일별,수,1,3.60,0,0,0,0,-,23,5,7,1,1,0,4,2,2,0.333
홈/방문별,홈,2,1.64,0,2,0,0,0.000,45,11,6,0,4,2,11,4,2,0.162
홈/방문별,방문,2,2.53,0,0,0,0,-,48,10 2/3,14,1,4,0,5,3,3,0.326
주/야간별,야간,4,2.08,0,2,0,0,0.000,93,21 2/3,20,1,8,2,16,7,5,0.250
기간별,전반기,4,2.08,0,2,0,0,0.000,93,21 2/3,20,1,8,2,16,7,5,0.250
