분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,3.60,0,0,0,0,-,24,5,6,0,1,1,4,2,2,0.286
상대팀별,NC,1,3.60,0,1,0,0,0.000,21,5,3,0,3,2,5,2,2,0.188
상대팀별,SSG,1,0.00,0,0,0,0,-,21,6,2,0,1,0,5,0,0,0.100
상대팀별,키움,1,1.80,0,0,0,0,-,22,5,6,0,0,1,3,1,1,0.286
상대팀별,한화,1,3.86,1,0,0,0,1.000,26,7,6,1,0,0,4,3,3,0.231
구장별,광주,2,2.70,0,1,0,0,0.000,43,10,9,0,3,3,8,3,3,0.243
구장별,대전,1,3.86,1,0,0,0,1.000,26,7,6,1,0,0,4,3,3,0.231
구장별,문학,1,0.00,0,0,0,0,-,21,6,2,0,1,0,5,0,0,0.100
구장별,수원,1,3.60,0,0,0,0,-,24,5,6,0,1,1,4,2,2,0.286
월별,3~4월,5,2.57,1,1,0,0,0.500,114,28,23,1,5,4,21,8,8,0.221
요일별,수,1,3.60,0,0,0,0,-,24,5,6,0,1,1,4,2,2,0.286
요일별,목,1,1.80,0,0,0,0,-,22,5,6,0,0,1,3,1,1,0.286
요일별,금,2,3.75,1,1,0,0,0.500,47,12,9,1,3,2,9,5,5,0.214
요일별,토,1,0.00,0,0,0,0,-,21,6,2,0,1,0,5,0,0,0.100
홈/방문별,홈,2,2.70,0,1,0,0,0.000,43,10,9,0,3,3,8,3,3,0.243
홈/방문별,방문,3,2.50,1,0,0,0,1.000,71,18,14,1,2,1,13,5,5,0.209
주/야간별,주간,1,0.00,0,0,0,0,-,21,6,2,0,1,0,5,0,0,0.100
주/야간별,야간,4,3.27,1,1,0,0,0.500,93,22,21,1,4,4,16,8,8,0.250
기간별,전반기,5,2.57,1,1,0,0,0.500,114,28,23,1,5,4,21,8,8,0.221
