분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,14,1,0,1,4,1,11,0,0,0.241
주자상황별,1루,4,3,0,0,0,1,2,1,0,0.211
주자상황별,"1,2루",1,0,0,0,0,0,2,0,0,0.167
주자상황별,"1,3루",0,0,0,0,0,0,2,0,0,0.000
주자상황별,2루,3,1,0,0,1,2,2,0,0,0.300
주자상황별,"2,3루",1,0,0,0,0,0,0,0,0,0.333
주자상황별,3루,0,0,0,0,0,0,2,0,0,0.000
주자상황별,주자있음,9,4,0,0,1,3,10,1,0,0.196
주자상황별,득점권,5,1,0,0,1,2,8,0,0,0.185
볼카운트별,0-0,1,0,0,0,0,0,0,0,0,0.125
볼카운트별,1-0,3,0,0,0,0,0,0,0,0,0.600
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-1,2,1,0,0,0,0,0,0,0,0.200
볼카운트별,1-1,2,0,0,0,0,0,0,0,0,0.200
볼카운트별,2-1,2,1,0,0,0,0,0,0,0,0.500
볼카운트별,3-1,1,0,0,0,3,0,0,0,0,0.250
볼카운트별,0-2,0,0,0,0,0,2,3,0,0,0.000
볼카운트별,1-2,1,0,0,0,0,1,7,0,0,0.048
볼카운트별,2-2,7,2,0,0,0,0,10,1,0,0.318
볼카운트별,3-2,4,1,0,1,1,1,1,0,0,0.400
이닝별,1회,5,2,0,0,1,2,4,0,0,0.263
이닝별,2회,4,0,0,1,1,0,2,0,0,0.200
이닝별,3회,1,0,0,0,2,1,4,0,0,0.063
이닝별,4회,5,1,0,0,0,0,5,0,0,0.263
이닝별,5회,5,1,0,0,0,1,3,0,0,0.263
이닝별,6회,1,0,0,0,1,0,2,1,0,0.167
이닝별,7회,2,1,0,0,0,0,1,0,0,0.400
이닝별,1~3회,10,2,0,1,4,3,10,0,0,0.182
이닝별,4~6회,11,2,0,0,1,1,10,1,0,0.250
이닝별,7회이후,2,1,0,0,0,0,1,0,0,0.400
타순별,1번타자,2,0,0,0,2,2,2,0,0,0.182
타순별,2번타자,5,1,0,0,1,1,2,1,0,0.385
타순별,3번타자,3,1,0,0,0,0,1,0,0,0.200
타순별,4번타자,2,0,0,0,1,1,5,0,0,0.182
타순별,5번타자,4,3,0,0,0,0,1,0,0,0.333
타순별,6번타자,5,0,0,1,0,0,2,0,0,0.417
타순별,7번타자,1,0,0,0,0,0,4,0,0,0.091
타순별,8번타자,0,0,0,0,0,0,3,0,0,0.000
타순별,9번타자,1,0,0,0,1,0,1,0,0,0.111
타순별,상위(1~2번),7,1,0,0,3,3,4,1,0,0.292
타순별,중심(3~5번),9,4,0,0,1,1,7,0,0,0.237
타순별,하위(6~9번),7,0,0,1,1,0,10,0,0,0.167
타자유형별,좌타자,16,5,0,0,4,4,11,0,0,0.276
타자유형별,우타자,7,0,0,1,1,0,10,1,0,0.152
아웃카운트별,0아웃,9,2,0,1,2,2,6,0,0,0.250
아웃카운트별,1아웃,11,2,0,0,2,2,8,1,0,0.289
아웃카운트별,2아웃,3,1,0,0,1,0,7,0,0,0.100
