분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,LG,1,5.40,0,0,0,0,-,23,5,6,0,3,0,4,3,3,0.316
상대팀별,SSG,1,18.00,0,1,0,0,0.000,25,4,9,2,5,1,0,8,8,0.474
상대팀별,두산,1,1.50,1,0,0,0,1.000,25,6,6,1,1,0,8,1,1,0.250
상대팀별,삼성,1,0.00,1,0,0,0,1.000,22,5,2,0,5,0,4,0,0,0.118
상대팀별,키움,1,1.13,1,0,0,0,1.000,28,8,4,1,0,0,11,1,1,0.143
구장별,고척,1,1.13,1,0,0,0,1.000,28,8,4,1,0,0,11,1,1,0.143
구장별,대구,1,0.00,1,0,0,0,1.000,22,5,2,0,5,0,4,0,0,0.118
구장별,사직,2,8.10,1,1,0,0,0.500,50,10,15,3,6,1,8,9,9,0.349
구장별,잠실,1,5.40,0,0,0,0,-,23,5,6,0,3,0,4,3,3,0.316
월별,3~4월,5,4.18,3,1,0,0,0.750,123,28,27,4,14,1,27,13,13,0.252
요일별,목,2,3.27,1,0,0,0,1.000,48,11,12,1,4,0,12,4,4,0.279
요일별,금,2,6.75,1,1,0,0,0.500,53,12,13,3,5,1,11,9,9,0.277
요일별,토,1,0.00,1,0,0,0,1.000,22,5,2,0,5,0,4,0,0,0.118
홈/방문별,홈,2,8.10,1,1,0,0,0.500,50,10,15,3,6,1,8,9,9,0.349
홈/방문별,방문,3,2.00,2,0,0,0,1.000,73,18,12,1,8,0,19,4,4,0.188
주/야간별,주간,1,0.00,1,0,0,0,1.000,22,5,2,0,5,0,4,0,0,0.118
주/야간별,야간,4,5.09,2,1,0,0,0.667,101,23,25,4,9,1,23,13,13,0.278
기간별,전반기,5,4.18,3,1,0,0,0.750,123,28,27,4,14,1,27,13,13,0.252
