분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,NC,1,0.00,0,1,0,0,0.000,22,5,5,0,1,1,3,4,0,0.250
상대팀별,SSG,1,5.40,0,0,0,0,-,26,5,6,0,3,2,3,3,3,0.286
상대팀별,키움,1,3.00,0,1,0,0,0.000,25,6,5,1,2,0,8,2,2,0.227
상대팀별,한화,1,3.60,0,1,0,0,0.000,25,5,7,1,3,0,4,3,2,0.333
구장별,고척,1,3.00,0,1,0,0,0.000,25,6,5,1,2,0,8,2,2,0.227
구장별,사직,2,4.50,0,1,0,0,0.000,51,10,13,1,6,2,7,6,5,0.310
구장별,창원,1,0.00,0,1,0,0,0.000,22,5,5,0,1,1,3,4,0,0.250
월별,3~4월,4,3.00,0,3,0,0,0.000,98,21,23,2,9,3,18,12,7,0.274
요일별,화,1,0.00,0,1,0,0,0.000,22,5,5,0,1,1,3,4,0,0.250
요일별,일,3,3.94,0,2,0,0,0.000,76,16,18,2,8,2,15,8,7,0.281
홈/방문별,홈,2,4.50,0,1,0,0,0.000,51,10,13,1,6,2,7,6,5,0.310
홈/방문별,방문,2,1.64,0,2,0,0,0.000,47,11,10,1,3,1,11,6,2,0.238
주/야간별,주간,3,3.94,0,2,0,0,0.000,76,16,18,2,8,2,15,8,7,0.281
주/야간별,야간,1,0.00,0,1,0,0,0.000,22,5,5,0,1,1,3,4,0,0.250
기간별,전반기,4,3.00,0,3,0,0,0.000,98,21,23,2,9,3,18,12,7,0.274
