분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,11,1,0,2,5,1,10,0,0,0.262
주자상황별,1루,5,1,0,0,0,1,5,0,0,0.313
주자상황별,"1,2루",1,0,0,0,0,0,1,0,0,0.333
주자상황별,만루,1,0,0,0,0,0,1,0,0,0.333
주자상황별,"1,3루",3,2,0,0,0,1,0,0,0,0.429
주자상황별,2루,1,0,0,0,1,0,0,0,0,0.167
주자상황별,"2,3루",1,0,0,0,0,0,1,0,0,0.167
주자상황별,3루,0,0,0,0,3,0,0,0,0,0.000
주자상황별,주자있음,12,3,0,0,4,2,8,0,0,0.286
주자상황별,득점권,7,2,0,0,4,1,3,0,0,0.269
볼카운트별,0-0,3,0,0,1,0,1,0,0,0,0.333
볼카운트별,1-0,1,1,0,0,0,0,0,0,0,1.000
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,3,0,0,0,0,0,0,0,0,0.300
볼카운트별,1-1,3,0,0,1,0,2,0,0,0,0.214
볼카운트별,2-1,4,2,0,0,0,0,0,0,0,0.571
볼카운트별,3-1,2,1,0,0,2,0,0,0,0,1.000
볼카운트별,0-2,1,0,0,0,0,0,5,0,0,0.143
볼카운트별,1-2,3,0,0,0,0,0,5,0,0,0.214
볼카운트별,2-2,2,0,0,0,0,0,5,0,0,0.182
볼카운트별,3-2,1,0,0,0,5,0,3,0,0,0.125
이닝별,1회,2,0,0,1,2,0,4,0,0,0.143
이닝별,2회,3,0,0,0,0,1,2,0,0,0.188
이닝별,3회,8,2,0,1,3,0,5,0,0,0.381
이닝별,4회,4,0,0,0,1,2,2,0,0,0.286
이닝별,5회,5,2,0,0,3,0,2,0,0,0.333
이닝별,6회,1,0,0,0,0,0,3,0,0,0.250
이닝별,1~3회,13,2,0,2,5,1,11,0,0,0.255
이닝별,4~6회,10,2,0,0,4,2,7,0,0,0.303
타순별,1번타자,3,0,0,1,2,0,4,0,0,0.300
타순별,2번타자,0,0,0,0,2,0,5,0,0,0.000
타순별,3번타자,5,2,0,1,2,0,1,0,0,0.500
타순별,4번타자,5,2,0,0,1,0,2,0,0,0.455
타순별,5번타자,2,0,0,0,0,0,2,0,0,0.182
타순별,6번타자,4,0,0,0,1,2,1,0,0,0.500
타순별,7번타자,3,0,0,0,0,0,3,0,0,0.333
타순별,8번타자,1,0,0,0,0,1,0,0,0,0.125
타순별,9번타자,0,0,0,0,1,0,0,0,0,0.000
타순별,상위(1~2번),3,0,0,1,4,0,9,0,0,0.150
타순별,중심(3~5번),12,4,0,1,3,0,5,0,0,0.375
타순별,하위(6~9번),8,0,0,0,2,3,4,0,0,0.250
타자유형별,좌타자,13,1,0,2,5,1,14,0,0,0.317
타자유형별,우타자,10,3,0,0,4,2,4,0,0,0.233
아웃카운트별,0아웃,7,2,0,1,3,0,4,0,0,0.269
아웃카운트별,1아웃,3,0,0,0,1,3,8,0,0,0.130
아웃카운트별,2아웃,13,2,0,1,5,0,6,0,0,0.371
