연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2015,롯데,5.76,31,0,0,2,11,0,0,0.154,526,114,129,16,54,12,82,81,73
2016,롯데,5.76,27,0,0,7,12,0,0,0.368,627,139,160,17,62,6,133,97,89
2017,롯데,3.68,28,0,0,12,6,0,0,0.667,725,171 1/3,170,21,56,9,117,74,70
2018,롯데,9.92,14,0,0,1,5,0,0,0.167,258,49,83,10,29,4,40,54,54
2019,롯데,4.20,12,0,0,3,6,0,0,0.333,263,60,66,3,23,0,44,33,28
2020,롯데,4.70,28,0,0,8,10,0,0,0.444,658,147 1/3,177,20,47,8,108,85,77
2021,롯데,3.98,28,1,1,10,9,0,0,0.526,685,163,141,20,53,10,125,75,72
2022,롯데,3.89,28,0,0,10,11,0,0,0.476,679,157 1/3,179,8,32,8,146,80,68
2023,롯데,3.45,27,0,0,9,7,0,0,0.563,657,154,145,8,59,4,129,70,59
2024,롯데,4.78,30,0,0,6,11,0,0,0.353,759,173 1/3,188,13,56,11,124,103,92
2025,롯데,4.93,29,0,0,11,13,0,0,0.458,722,160 2/3,183,15,54,8,156,99,88
2026,롯데,3.00,4,0,0,0,3,0,0,0.000,98,21,23,2,9,3,18,12,7
