분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,두산,1,0.00,1,0,0,0,1.000,23,6,4,0,1,0,8,0,0,0.182
상대팀별,삼성,1,0.00,1,0,0,0,1.000,23,6,5,0,2,0,2,0,0,0.238
상대팀별,키움,1,3.00,1,0,0,0,1.000,25,6,7,0,0,0,4,2,2,0.292
상대팀별,한화,1,0.00,1,0,0,0,1.000,22,5,5,0,2,0,7,0,0,0.250
구장별,대전,1,0.00,1,0,0,0,1.000,22,5,5,0,2,0,7,0,0,0.250
구장별,수원,3,1.00,3,0,0,0,1.000,71,18,16,0,3,0,14,2,2,0.239
월별,3~4월,4,0.78,4,0,0,0,1.000,93,23,21,0,5,0,21,2,2,0.241
요일별,화,1,0.00,1,0,0,0,1.000,22,5,5,0,2,0,7,0,0,0.250
요일별,토,1,3.00,1,0,0,0,1.000,25,6,7,0,0,0,4,2,2,0.292
요일별,일,2,0.00,2,0,0,0,1.000,46,12,9,0,3,0,10,0,0,0.209
홈/방문별,홈,3,1.00,3,0,0,0,1.000,71,18,16,0,3,0,14,2,2,0.239
홈/방문별,방문,1,0.00,1,0,0,0,1.000,22,5,5,0,2,0,7,0,0,0.250
주/야간별,주간,2,0.00,2,0,0,0,1.000,46,12,9,0,3,0,10,0,0,0.209
주/야간별,야간,2,1.64,2,0,0,0,1.000,47,11,12,0,2,0,11,2,2,0.273
기간별,전반기,4,0.78,4,0,0,0,1.000,93,23,21,0,5,0,21,2,2,0.241
