분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,15,1,1,0,2,0,11,0,0,0.333
주자상황별,1루,3,1,0,0,2,0,5,0,0,0.125
주자상황별,"1,2루",1,0,0,0,0,0,2,0,0,0.200
주자상황별,만루,0,0,0,0,0,0,0,0,0,0.000
주자상황별,"1,3루",1,0,0,0,0,0,2,0,0,0.143
주자상황별,2루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,"2,3루",1,0,0,0,0,0,0,0,0,1.000
주자상황별,3루,0,0,0,0,1,0,0,0,0,-
주자상황별,주자있음,6,1,0,0,3,0,10,0,0,0.143
주자상황별,득점권,3,0,0,0,1,0,5,0,0,0.167
볼카운트별,0-0,3,0,0,0,0,0,0,0,0,0.600
볼카운트별,1-0,3,0,0,0,0,0,0,0,0,0.300
볼카운트별,2-0,2,0,0,0,0,0,0,0,0,1.000
볼카운트별,3-0,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,1-1,4,1,1,0,0,0,0,0,0,0.308
볼카운트별,2-1,3,1,0,0,0,0,0,0,0,0.429
볼카운트별,3-1,1,0,0,0,1,0,0,0,0,0.500
볼카운트별,0-2,1,0,0,0,0,0,6,0,0,0.143
볼카운트별,1-2,1,0,0,0,0,0,5,0,0,0.059
볼카운트별,2-2,3,0,0,0,0,0,9,0,0,0.200
볼카운트별,3-2,0,0,0,0,3,0,1,0,0,0.000
이닝별,1회,3,0,0,0,0,0,5,0,0,0.214
이닝별,2회,4,1,0,0,0,0,2,0,0,0.235
이닝별,3회,2,0,0,0,1,0,5,0,0,0.154
이닝별,4회,3,0,0,0,0,0,3,0,0,0.200
이닝별,5회,3,0,0,0,1,0,5,0,0,0.200
이닝별,6회,6,1,1,0,3,0,1,0,0,0.462
이닝별,1~3회,9,1,0,0,1,0,12,0,0,0.205
이닝별,4~6회,12,1,1,0,4,0,9,0,0,0.279
타순별,1번타자,3,0,0,0,0,0,2,0,0,0.250
타순별,2번타자,1,1,0,0,2,0,4,0,0,0.100
타순별,3번타자,5,0,1,0,2,0,1,0,0,0.500
타순별,4번타자,2,0,0,0,1,0,3,0,0,0.182
타순별,5번타자,2,0,0,0,0,0,4,0,0,0.182
타순별,6번타자,4,1,0,0,0,0,0,0,0,0.444
타순별,7번타자,1,0,0,0,0,0,2,0,0,0.111
타순별,8번타자,1,0,0,0,0,0,4,0,0,0.125
타순별,9번타자,2,0,0,0,0,0,1,0,0,0.286
타순별,상위(1~2번),4,1,0,0,2,0,6,0,0,0.182
타순별,중심(3~5번),9,0,1,0,3,0,8,0,0,0.281
타순별,하위(6~9번),8,1,0,0,0,0,7,0,0,0.242
타자유형별,좌타자,12,1,0,0,4,0,8,0,0,0.231
타자유형별,우타자,9,1,1,0,1,0,13,0,0,0.257
아웃카운트별,0아웃,10,1,0,0,2,0,6,0,0,0.294
아웃카운트별,1아웃,6,0,0,0,1,0,10,0,0,0.214
아웃카운트별,2아웃,5,1,1,0,2,0,5,0,0,0.200
