분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,2.84,0,0,0,0,-,23,6 1/3,3,1,2,0,7,2,2,0.143
상대팀별,LG,1,5.40,1,0,0,0,1.000,24,5,5,1,5,0,1,3,3,0.278
상대팀별,NC,1,3.38,0,0,0,0,-,24,5 1/3,5,0,1,2,8,2,2,0.238
상대팀별,두산,1,6.00,0,0,0,0,-,27,6,7,0,3,1,4,4,4,0.318
상대팀별,삼성,1,3.00,0,1,0,0,0.000,25,6,5,0,2,0,3,2,2,0.217
구장별,수원,3,3.93,0,1,0,0,0.000,75,18 1/3,15,1,7,1,14,8,8,0.227
구장별,잠실,1,5.40,1,0,0,0,1.000,24,5,5,1,5,0,1,3,3,0.278
구장별,창원,1,3.38,0,0,0,0,-,24,5 1/3,5,0,1,2,8,2,2,0.238
월별,3~4월,5,4.08,1,1,0,0,0.500,123,28 2/3,25,2,13,3,23,13,13,0.238
요일별,수,1,2.84,0,0,0,0,-,23,6 1/3,3,1,2,0,7,2,2,0.143
요일별,목,1,3.38,0,0,0,0,-,24,5 1/3,5,0,1,2,8,2,2,0.238
요일별,금,2,4.50,0,1,0,0,0.000,52,12,12,0,5,1,7,6,6,0.267
요일별,토,1,5.40,1,0,0,0,1.000,24,5,5,1,5,0,1,3,3,0.278
홈/방문별,홈,3,3.93,0,1,0,0,0.000,75,18 1/3,15,1,7,1,14,8,8,0.227
홈/방문별,방문,2,4.35,1,0,0,0,1.000,48,10 1/3,10,1,6,2,9,5,5,0.256
주/야간별,주간,1,5.40,1,0,0,0,1.000,24,5,5,1,5,0,1,3,3,0.278
주/야간별,야간,4,3.80,0,1,0,0,0.000,99,23 2/3,20,1,8,3,22,10,10,0.230
기간별,전반기,5,4.08,1,1,0,0,0.500,123,28 2/3,25,2,13,3,23,13,13,0.238
