분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,15,4,0,2,10,1,13,0,0,0.283
주자상황별,1루,2,0,1,0,2,1,6,3,0,0.087
주자상황별,"1,2루",1,0,0,0,1,0,0,0,0,0.167
주자상황별,만루,1,0,0,0,0,0,0,0,0,0.500
주자상황별,"1,3루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,2루,4,1,1,0,0,1,3,0,0,0.250
주자상황별,"2,3루",1,0,0,0,0,0,0,0,0,1.000
주자상황별,3루,1,1,0,0,0,0,1,0,0,0.333
주자상황별,주자있음,10,2,2,0,3,2,10,3,0,0.192
주자상황별,득점권,8,2,1,0,1,1,4,0,0,0.276
볼카운트별,0-0,4,0,1,0,0,1,0,0,0,0.286
볼카운트별,1-0,3,0,0,0,0,1,0,0,0,0.375
볼카운트별,2-0,4,2,0,0,0,0,0,1,0,0.800
볼카운트별,3-0,0,0,0,0,4,0,0,0,0,-
볼카운트별,0-1,3,0,1,0,0,1,0,0,0,0.273
볼카운트별,1-1,1,0,0,1,0,0,0,0,0,0.143
볼카운트별,2-1,3,2,0,0,0,0,0,0,0,0.500
볼카운트별,3-1,0,0,0,0,5,0,0,0,0,0.000
볼카운트별,0-2,2,0,0,0,0,0,6,0,0,0.200
볼카운트별,1-2,1,1,0,0,0,0,7,0,0,0.059
볼카운트별,2-2,2,0,0,1,0,0,7,2,0,0.111
볼카운트별,3-2,2,1,0,0,4,0,3,0,0,0.250
이닝별,1회,5,2,0,0,3,0,3,0,0,0.250
이닝별,2회,2,0,0,0,2,1,4,1,0,0.125
이닝별,3회,6,2,0,0,2,1,4,1,0,0.316
이닝별,4회,1,0,0,0,1,1,4,0,0,0.063
이닝별,5회,4,1,0,1,2,0,5,0,0,0.235
이닝별,6회,7,1,2,1,2,0,3,1,0,0.438
이닝별,7회,0,0,0,0,1,0,0,0,0,0.000
이닝별,1~3회,13,4,0,0,7,2,11,2,0,0.236
이닝별,4~6회,12,2,2,2,5,1,12,1,0,0.245
이닝별,7회이후,0,0,0,0,1,0,0,0,0,0.000
타순별,1번타자,2,1,0,0,4,0,5,0,0,0.182
타순별,2번타자,2,0,0,0,0,0,2,1,0,0.133
타순별,3번타자,7,2,0,0,0,0,3,0,0,0.467
타순별,4번타자,4,1,0,0,3,1,2,0,0,0.364
타순별,5번타자,4,1,1,1,3,0,1,0,0,0.333
타순별,6번타자,2,0,1,0,1,2,2,0,0,0.222
타순별,7번타자,1,0,0,0,0,0,4,1,0,0.083
타순별,8번타자,1,0,0,0,0,0,3,0,0,0.091
타순별,9번타자,2,1,0,1,2,0,1,1,0,0.222
타순별,상위(1~2번),4,1,0,0,4,0,7,1,0,0.154
타순별,중심(3~5번),15,4,1,1,6,1,6,0,0,0.395
타순별,하위(6~9번),6,1,1,1,3,2,10,2,0,0.146
타자유형별,좌타자,11,3,1,0,8,1,12,3,0,0.190
타자유형별,우타자,14,3,1,2,5,2,11,0,0,0.298
아웃카운트별,0아웃,10,3,1,1,7,1,8,1,0,0.256
아웃카운트별,1아웃,10,3,0,0,2,2,6,0,0,0.294
아웃카운트별,2아웃,5,0,1,1,4,0,9,2,0,0.156
