분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,3.60,1,0,0,0,1.000,23,5,6,0,2,0,5,3,2,0.286
상대팀별,LG,1,9.00,0,0,0,0,-,17,3,7,0,2,0,1,3,3,0.467
상대팀별,두산,1,2.57,1,0,0,0,1.000,26,7,4,0,1,1,7,2,2,0.174
상대팀별,삼성,1,9.00,0,0,0,0,-,28,6,9,2,1,0,7,6,6,0.346
상대팀별,키움,1,0.00,1,0,0,0,1.000,25,6,6,0,0,1,7,0,0,0.250
구장별,수원,4,3.75,3,0,0,0,1.000,102,24,25,2,4,2,26,11,10,0.266
구장별,잠실,1,9.00,0,0,0,0,-,17,3,7,0,2,0,1,3,3,0.467
월별,3~4월,5,4.33,3,0,0,0,1.000,119,27,32,2,6,2,27,14,13,0.294
요일별,목,1,3.60,1,0,0,0,1.000,23,5,6,0,2,0,5,3,2,0.286
요일별,금,1,0.00,1,0,0,0,1.000,25,6,6,0,0,1,7,0,0,0.250
요일별,토,2,5.54,1,0,0,0,1.000,54,13,13,2,2,1,14,8,8,0.265
요일별,일,1,9.00,0,0,0,0,-,17,3,7,0,2,0,1,3,3,0.467
홈/방문별,홈,4,3.75,3,0,0,0,1.000,102,24,25,2,4,2,26,11,10,0.266
홈/방문별,방문,1,9.00,0,0,0,0,-,17,3,7,0,2,0,1,3,3,0.467
주/야간별,주간,1,9.00,0,0,0,0,-,17,3,7,0,2,0,1,3,3,0.467
주/야간별,야간,4,3.75,3,0,0,0,1.000,102,24,25,2,4,2,26,11,10,0.266
기간별,전반기,5,4.33,3,0,0,0,1.000,119,27,32,2,6,2,27,14,13,0.294
