분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,16,3,0,1,3,1,12,0,0,0.302
주자상황별,1루,7,2,0,1,0,0,6,0,0,0.292
주자상황별,"1,2루",1,0,0,0,1,0,3,0,0,0.143
주자상황별,만루,1,0,0,0,0,0,0,0,0,0.333
주자상황별,"1,3루",1,1,0,0,0,1,0,0,0,0.333
주자상황별,2루,4,2,0,0,2,0,1,0,0,0.400
주자상황별,"2,3루",0,0,0,0,0,0,4,0,0,0.000
주자상황별,3루,2,1,0,0,0,0,1,0,0,0.500
주자상황별,주자있음,16,6,0,1,3,1,15,0,0,0.286
주자상황별,득점권,9,4,0,0,3,1,9,0,0,0.281
볼카운트별,0-0,2,0,0,1,1,0,0,0,0,0.222
볼카운트별,1-0,5,1,0,1,0,0,0,0,0,0.500
볼카운트별,2-0,1,0,0,0,0,0,0,0,0,1.000
볼카운트별,3-0,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-1,3,3,0,0,0,0,0,0,0,0.273
볼카운트별,1-1,2,0,0,0,0,0,0,0,0,0.182
볼카운트별,2-1,1,1,0,0,0,1,0,0,0,0.333
볼카운트별,3-1,1,1,0,0,1,0,0,0,0,0.333
볼카운트별,0-2,2,0,0,0,0,1,7,0,0,0.182
볼카운트별,1-2,6,2,0,0,0,0,6,0,0,0.375
볼카운트별,2-2,6,1,0,0,0,0,7,0,0,0.300
볼카운트별,3-2,3,0,0,0,3,0,7,0,0,0.214
이닝별,1회,9,1,0,1,2,1,5,0,0,0.409
이닝별,2회,7,1,0,0,0,0,8,0,0,0.304
이닝별,3회,4,2,0,0,1,0,1,0,0,0.211
이닝별,4회,5,1,0,1,1,0,5,0,0,0.313
이닝별,5회,4,2,0,0,2,0,6,0,0,0.250
이닝별,6회,0,0,0,0,0,1,1,0,0,0.000
이닝별,7회,3,2,0,0,0,0,1,0,0,0.600
이닝별,1~3회,20,4,0,1,3,1,14,0,0,0.313
이닝별,4~6회,9,3,0,1,3,1,12,0,0,0.225
이닝별,7회이후,3,2,0,0,0,0,1,0,0,0.600
타순별,1번타자,4,1,0,0,1,0,3,0,0,0.286
타순별,2번타자,2,1,0,0,0,0,2,0,0,0.143
타순별,3번타자,5,2,0,0,1,0,4,0,0,0.385
타순별,4번타자,5,1,0,1,0,0,3,0,0,0.357
타순별,5번타자,1,0,0,1,2,1,3,0,0,0.091
타순별,6번타자,4,1,0,0,1,0,2,0,0,0.364
타순별,7번타자,4,2,0,0,0,0,5,0,0,0.333
타순별,8번타자,2,0,0,0,1,0,3,0,0,0.182
타순별,9번타자,5,1,0,0,0,1,2,0,0,0.556
타순별,상위(1~2번),6,2,0,0,1,0,5,0,0,0.214
타순별,중심(3~5번),11,3,0,2,3,1,10,0,0,0.289
타순별,하위(6~9번),15,4,0,0,2,1,12,0,0,0.349
타자유형별,좌타자,16,5,0,2,3,1,14,0,0,0.262
타자유형별,우타자,16,4,0,0,3,1,13,0,0,0.333
아웃카운트별,0아웃,13,3,0,1,3,1,9,0,0,0.333
아웃카운트별,1아웃,8,3,0,0,1,0,10,0,0,0.242
아웃카운트별,2아웃,11,3,0,1,2,1,8,0,0,0.297
