분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,9.00,0,1,0,0,0.000,25,6,6,3,1,0,0,6,6,0.250
상대팀별,LG,1,0.00,0,0,0,0,-,20,5,5,0,1,0,4,0,0,0.263
상대팀별,롯데,1,3.60,0,0,0,0,-,22,5,5,1,3,0,3,2,2,0.278
상대팀별,키움,1,3.60,0,1,0,0,0.000,19,5,1,0,2,2,3,2,2,0.071
구장별,고척,1,3.60,0,1,0,0,0.000,19,5,1,0,2,2,3,2,2,0.071
구장별,창원,3,4.50,0,1,0,0,0.000,67,16,16,4,5,0,7,8,8,0.262
월별,3~4월,4,4.29,0,2,0,0,0.000,86,21,17,4,7,2,10,10,10,0.227
요일별,수,4,4.29,0,2,0,0,0.000,86,21,17,4,7,2,10,10,10,0.227
홈/방문별,홈,3,4.50,0,1,0,0,0.000,67,16,16,4,5,0,7,8,8,0.262
홈/방문별,방문,1,3.60,0,1,0,0,0.000,19,5,1,0,2,2,3,2,2,0.071
주/야간별,야간,4,4.29,0,2,0,0,0.000,86,21,17,4,7,2,10,10,10,0.227
기간별,전반기,4,4.29,0,2,0,0,0.000,86,21,17,4,7,2,10,10,10,0.227
