분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,10,4,0,1,5,2,7,0,0,0.192
주자상황별,1루,5,0,0,2,1,0,0,0,0,0.500
주자상황별,"1,2루",0,0,0,0,0,0,2,0,0,0.000
주자상황별,"1,3루",0,0,0,0,0,0,1,0,0,0.000
주자상황별,2루,2,0,0,1,1,0,0,0,0,0.333
주자상황별,3루,0,0,0,0,0,0,0,0,0,-
주자상황별,주자있음,7,0,0,3,2,0,3,0,0,0.304
주자상황별,득점권,2,0,0,1,1,0,3,0,0,0.154
볼카운트별,0-0,1,0,0,0,0,1,0,0,0,0.143
볼카운트별,1-0,2,1,0,1,0,0,0,0,0,0.400
볼카운트별,3-0,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-1,2,1,0,0,0,0,0,0,0,0.167
볼카운트별,1-1,4,0,0,2,0,0,0,0,0,0.308
볼카운트별,2-1,1,0,0,1,0,0,0,0,0,0.500
볼카운트별,3-1,1,0,0,0,3,0,0,0,0,1.000
볼카운트별,0-2,1,0,0,0,0,0,2,0,0,0.143
볼카운트별,1-2,1,1,0,0,0,0,4,0,0,0.100
볼카운트별,2-2,3,0,0,0,0,0,2,0,0,0.250
볼카운트별,3-2,1,1,0,0,3,1,2,0,0,0.167
이닝별,1회,2,1,0,1,0,0,2,0,0,0.143
이닝별,2회,3,1,0,0,1,0,3,0,0,0.200
이닝별,3회,2,0,0,1,1,0,2,0,0,0.143
이닝별,4회,4,1,0,1,1,1,2,0,0,0.286
이닝별,5회,4,1,0,0,1,1,1,0,0,0.308
이닝별,6회,2,0,0,1,3,0,0,0,0,0.400
이닝별,1~3회,7,2,0,2,2,0,7,0,0,0.163
이닝별,4~6회,10,2,0,2,5,2,3,0,0,0.313
타순별,1번타자,0,0,0,0,2,1,2,0,0,0.000
타순별,2번타자,2,0,0,1,1,0,2,0,0,0.200
타순별,3번타자,3,1,0,1,0,0,0,0,0,0.300
타순별,4번타자,3,1,0,2,2,0,1,0,0,0.375
타순별,5번타자,2,2,0,0,1,0,0,0,0,0.250
타순별,6번타자,2,0,0,0,0,0,2,0,0,0.250
타순별,7번타자,2,0,0,0,0,1,0,0,0,0.250
타순별,8번타자,1,0,0,0,0,0,2,0,0,0.125
타순별,9번타자,2,0,0,0,1,0,1,0,0,0.286
타순별,상위(1~2번),2,0,0,1,3,1,4,0,0,0.111
타순별,중심(3~5번),8,4,0,3,3,0,1,0,0,0.308
타순별,하위(6~9번),7,0,0,0,1,1,5,0,0,0.226
타자유형별,좌타자,5,1,0,1,5,1,6,0,0,0.147
타자유형별,우타자,12,3,0,3,2,1,4,0,0,0.293
아웃카운트별,0아웃,6,2,0,2,4,1,3,0,0,0.231
아웃카운트별,1아웃,5,1,0,1,3,0,0,0,0,0.217
아웃카운트별,2아웃,6,1,0,1,0,1,7,0,0,0.231
