분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,3.00,0,1,0,0,0.000,25,6,6,1,1,0,6,3,2,0.250
상대팀별,LG,1,1.42,1,0,0,0,1.000,26,6 1/3,6,1,1,0,7,1,1,0.240
상대팀별,NC,1,0.00,1,0,0,0,1.000,31,8,7,0,1,0,5,0,0,0.233
상대팀별,롯데,1,4.50,0,1,0,0,0.000,27,6,10,1,0,0,11,3,3,0.370
상대팀별,한화,1,5.06,0,0,0,0,-,24,5 1/3,8,1,1,0,5,3,3,0.348
구장별,고척,3,1.77,2,1,0,0,0.667,84,20 1/3,23,2,2,0,23,4,4,0.280
구장별,광주,1,3.00,0,1,0,0,0.000,25,6,6,1,1,0,6,3,2,0.250
구장별,대전,1,5.06,0,0,0,0,-,24,5 1/3,8,1,1,0,5,3,3,0.348
월별,3~4월,5,2.56,2,2,0,0,0.500,133,31 2/3,37,4,4,0,34,10,9,0.287
요일별,수,1,0.00,1,0,0,0,1.000,31,8,7,0,1,0,5,0,0,0.233
요일별,목,1,3.00,0,1,0,0,0.000,25,6,6,1,1,0,6,3,2,0.250
요일별,금,2,2.92,1,1,0,0,0.500,53,12 1/3,16,2,1,0,18,4,4,0.308
요일별,토,1,5.06,0,0,0,0,-,24,5 1/3,8,1,1,0,5,3,3,0.348
홈/방문별,홈,3,1.77,2,1,0,0,0.667,84,20 1/3,23,2,2,0,23,4,4,0.280
홈/방문별,방문,2,3.97,0,1,0,0,0.000,49,11 1/3,14,2,2,0,11,6,5,0.298
주/야간별,주간,1,5.06,0,0,0,0,-,24,5 1/3,8,1,1,0,5,3,3,0.348
주/야간별,야간,4,2.05,2,2,0,0,0.500,109,26 1/3,29,3,3,0,29,7,6,0.274
기간별,전반기,5,2.56,2,2,0,0,0.500,133,31 2/3,37,4,4,0,34,10,9,0.287
