분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,24,2,1,3,3,0,19,0,0,0.320
주자상황별,1루,10,1,0,1,1,0,8,0,0,0.303
주자상황별,"1,2루",0,0,0,0,0,0,4,1,0,0.000
주자상황별,"1,3루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,2루,1,0,0,0,0,0,1,0,0,0.250
주자상황별,"2,3루",1,0,0,0,0,0,1,1,0,0.333
주자상황별,3루,1,0,0,0,0,0,1,0,0,0.200
주자상황별,주자있음,13,1,0,1,1,0,15,2,0,0.241
주자상황별,득점권,3,0,0,0,0,0,7,2,0,0.143
볼카운트별,0-0,7,1,1,1,0,0,0,0,0,0.389
볼카운트별,1-0,1,0,0,0,0,0,0,2,0,0.250
볼카운트별,2-0,2,0,0,0,0,0,0,0,0,0.667
볼카운트별,3-0,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-1,4,0,0,0,0,0,0,0,0,0.250
볼카운트별,1-1,6,1,0,1,0,0,0,0,0,0.600
볼카운트별,2-1,1,0,0,0,0,0,0,0,0,0.333
볼카운트별,3-1,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-2,4,1,0,0,0,0,10,0,0,0.222
볼카운트별,1-2,6,0,0,2,0,0,14,0,0,0.207
볼카운트별,2-2,3,0,0,0,0,0,9,0,0,0.150
볼카운트별,3-2,3,0,0,0,1,0,1,0,0,0.375
이닝별,1회,7,1,1,0,0,0,6,1,0,0.333
이닝별,2회,4,0,0,0,0,0,5,0,0,0.211
이닝별,3회,6,1,0,0,0,0,8,0,0,0.286
이닝별,4회,7,0,0,2,0,0,3,1,0,0.350
이닝별,5회,7,0,0,1,2,0,7,0,0,0.304
이닝별,6회,5,1,0,1,2,0,4,0,0,0.294
이닝별,7회,1,0,0,0,0,0,1,0,0,0.250
이닝별,8회,0,0,0,0,0,0,0,0,0,0.000
이닝별,1~3회,17,2,1,0,0,0,19,1,0,0.279
이닝별,4~6회,19,1,0,4,4,0,14,1,0,0.317
이닝별,7회이후,1,0,0,0,0,0,1,0,0,0.125
타순별,1번타자,8,1,1,0,1,0,0,0,0,0.533
타순별,2번타자,6,0,0,1,0,0,6,0,0,0.375
타순별,3번타자,6,2,0,1,1,0,2,0,0,0.400
타순별,4번타자,2,0,0,0,1,0,6,0,0,0.133
타순별,5번타자,2,0,0,0,1,0,3,1,0,0.143
타순별,6번타자,5,0,0,2,0,0,3,0,0,0.333
타순별,7번타자,6,0,0,0,0,0,5,0,0,0.429
타순별,8번타자,1,0,0,0,0,0,6,0,0,0.077
타순별,9번타자,1,0,0,0,0,0,3,1,0,0.083
타순별,상위(1~2번),14,1,1,1,1,0,6,0,0,0.452
타순별,중심(3~5번),10,2,0,1,3,0,11,1,0,0.227
타순별,하위(6~9번),13,0,0,2,0,0,17,1,0,0.241
타자유형별,좌타자,19,2,1,2,2,0,14,1,0,0.297
타자유형별,우타자,18,1,0,2,2,0,20,1,0,0.277
아웃카운트별,0아웃,7,1,1,2,0,0,10,0,0,0.175
아웃카운트별,1아웃,20,2,0,1,1,0,10,1,0,0.385
아웃카운트별,2아웃,10,0,0,1,3,0,14,1,0,0.270
