분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,5.40,0,1,0,0,0.000,22,5,4,2,2,0,3,4,3,0.211
상대팀별,두산,1,5.06,1,0,0,0,1.000,23,5 1/3,5,0,3,0,3,3,3,0.250
상대팀별,롯데,1,0.00,1,0,0,0,1.000,22,6,5,0,1,0,2,0,0,0.238
상대팀별,삼성,1,189.00,0,1,0,0,0.000,10,1/3,7,0,2,0,1,7,7,0.875
상대팀별,키움,1,7.71,0,0,0,0,-,21,4 2/3,4,0,4,0,3,4,4,0.235
구장별,대전,3,12.60,0,2,0,0,0.000,53,10,15,2,8,0,7,15,14,0.341
구장별,사직,1,0.00,1,0,0,0,1.000,22,6,5,0,1,0,2,0,0,0.238
구장별,잠실,1,5.06,1,0,0,0,1.000,23,5 1/3,5,0,3,0,3,3,3,0.250
월별,3~4월,5,7.17,2,2,0,0,0.500,98,21 1/3,25,2,12,0,12,18,17,0.294
요일별,수,1,189.00,0,1,0,0,0.000,10,1/3,7,0,2,0,1,7,7,0.875
요일별,금,2,5.23,1,1,0,0,0.500,45,10 1/3,9,2,5,0,6,7,6,0.231
요일별,토,1,7.71,0,0,0,0,-,21,4 2/3,4,0,4,0,3,4,4,0.235
요일별,일,1,0.00,1,0,0,0,1.000,22,6,5,0,1,0,2,0,0,0.238
홈/방문별,홈,3,12.60,0,2,0,0,0.000,53,10,15,2,8,0,7,15,14,0.341
홈/방문별,방문,2,2.38,2,0,0,0,1.000,45,11 1/3,10,0,4,0,5,3,3,0.244
주/야간별,주간,2,3.38,1,0,0,0,1.000,43,10 2/3,9,0,5,0,5,4,4,0.237
주/야간별,야간,3,10.97,1,2,0,0,0.333,55,10 2/3,16,2,7,0,7,14,13,0.340
기간별,전반기,5,7.17,2,2,0,0,0.500,98,21 1/3,25,2,12,0,12,18,17,0.294
