분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,13,3,0,1,5,0,9,0,0,0.260
주자상황별,1루,4,1,0,0,2,0,1,0,0,0.267
주자상황별,"1,2루",2,0,0,0,2,0,1,0,0,0.500
주자상황별,만루,3,1,0,0,0,0,0,0,0,0.750
주자상황별,"1,3루",1,0,0,0,0,0,0,0,0,0.500
주자상황별,2루,1,0,0,1,1,0,1,0,0,0.143
주자상황별,"2,3루",1,0,0,0,1,0,0,0,0,0.500
주자상황별,3루,0,0,0,0,1,0,0,0,0,0.000
주자상황별,주자있음,12,2,0,1,7,0,3,0,0,0.343
주자상황별,득점권,8,1,0,1,5,0,2,0,0,0.400
볼카운트별,0-0,2,1,0,0,0,0,0,0,0,0.222
볼카운트별,1-0,2,1,0,0,0,0,0,0,0,0.286
볼카운트별,2-0,1,0,0,1,0,0,0,0,0,1.000
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,6,1,0,0,0,0,0,0,0,0.600
볼카운트별,1-1,3,1,0,0,0,0,0,0,0,0.375
볼카운트별,2-1,3,0,0,0,0,0,0,0,0,0.429
볼카운트별,3-1,1,1,0,0,5,0,0,0,0,0.500
볼카운트별,0-2,2,0,0,0,0,0,4,0,0,0.200
볼카운트별,1-2,1,0,0,0,0,0,3,0,0,0.125
볼카운트별,2-2,2,0,0,1,0,0,3,0,0,0.125
볼카운트별,3-2,2,0,0,0,5,0,2,0,0,0.286
이닝별,1회,9,4,0,0,2,0,2,0,0,0.409
이닝별,2회,1,1,0,0,1,0,6,0,0,0.077
이닝별,3회,3,0,0,0,2,0,0,0,0,0.231
이닝별,4회,5,0,0,1,1,0,1,0,0,0.313
이닝별,5회,4,0,0,0,4,0,3,0,0,0.286
이닝별,6회,3,0,0,1,2,0,0,0,0,0.429
이닝별,1~3회,13,5,0,0,5,0,8,0,0,0.271
이닝별,4~6회,12,0,0,2,7,0,4,0,0,0.324
타순별,1번타자,1,0,0,0,2,0,3,0,0,0.091
타순별,2번타자,1,1,0,0,2,0,0,0,0,0.091
타순별,3번타자,7,2,0,1,0,0,0,0,0,0.538
타순별,4번타자,2,0,0,0,2,0,0,0,0,0.200
타순별,5번타자,2,0,0,0,2,0,2,0,0,0.250
타순별,6번타자,4,1,0,1,1,0,4,0,0,0.500
타순별,7번타자,1,1,0,0,1,0,1,0,0,0.125
타순별,8번타자,4,0,0,0,1,0,1,0,0,0.500
타순별,9번타자,3,0,0,0,1,0,1,0,0,0.375
타순별,상위(1~2번),2,1,0,0,4,0,3,0,0,0.091
타순별,중심(3~5번),11,2,0,1,4,0,2,0,0,0.355
타순별,하위(6~9번),12,2,0,1,4,0,7,0,0,0.375
타자유형별,좌타자,9,1,0,1,6,0,7,0,0,0.205
타자유형별,우타자,16,4,0,1,6,0,5,0,0,0.390
아웃카운트별,0아웃,6,0,0,1,2,0,5,0,0,0.200
아웃카운트별,1아웃,13,3,0,1,7,0,4,0,0,0.406
아웃카운트별,2아웃,6,2,0,0,3,0,3,0,0,0.261
