분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,3.00,0,1,0,0,0.000,24,6,5,0,2,0,5,2,2,0.238
상대팀별,LG,1,0.00,0,0,0,0,-,14,3 1/3,3,0,0,1,3,0,0,0.231
상대팀별,NC,1,12.00,0,0,0,0,-,17,3,3,0,3,4,3,4,4,0.300
상대팀별,SSG,1,1.50,0,0,0,0,-,23,6,3,0,3,0,8,1,1,0.167
상대팀별,두산,1,9.82,0,0,0,0,-,19,3 2/3,6,0,2,0,3,4,4,0.375
구장별,대구,4,5.06,0,0,0,0,-,73,16,15,0,8,5,17,9,9,0.263
구장별,수원,1,3.00,0,1,0,0,0.000,24,6,5,0,2,0,5,2,2,0.238
월별,3~4월,5,4.50,0,1,0,0,0.000,97,22,20,0,10,5,22,11,11,0.256
요일별,화,1,9.82,0,0,0,0,-,19,3 2/3,6,0,2,0,3,4,4,0.375
요일별,목,1,1.50,0,0,0,0,-,23,6,3,0,3,0,8,1,1,0.167
요일별,토,2,5.68,0,0,0,0,-,31,6 1/3,6,0,3,5,6,4,4,0.261
요일별,일,1,3.00,0,1,0,0,0.000,24,6,5,0,2,0,5,2,2,0.238
홈/방문별,홈,4,5.06,0,0,0,0,-,73,16,15,0,8,5,17,9,9,0.263
홈/방문별,방문,1,3.00,0,1,0,0,0.000,24,6,5,0,2,0,5,2,2,0.238
주/야간별,주간,2,1.93,0,1,0,0,0.000,38,9 1/3,8,0,2,1,8,2,2,0.235
주/야간별,야간,3,6.39,0,0,0,0,-,59,12 2/3,12,0,8,4,14,9,9,0.273
기간별,전반기,5,4.50,0,1,0,0,0.000,97,22,20,0,10,5,22,11,11,0.256
