분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,12,2,0,0,4,2,12,0,0,0.255
주자상황별,1루,3,0,0,0,2,1,3,0,0,0.231
주자상황별,"1,2루",2,1,0,0,2,0,1,0,0,0.286
주자상황별,만루,1,1,0,0,0,1,0,0,0,1.000
주자상황별,"1,3루",0,0,0,0,0,0,2,0,0,0.000
주자상황별,2루,1,1,0,0,1,1,3,0,0,0.200
주자상황별,"2,3루",1,0,0,0,1,0,0,0,0,0.500
주자상황별,3루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,주자있음,8,3,0,0,6,3,10,0,0,0.258
주자상황별,득점권,5,3,0,0,4,2,7,0,0,0.278
볼카운트별,0-0,2,1,0,0,0,2,0,0,0,0.250
볼카운트별,1-0,2,0,0,0,0,0,0,0,0,1.000
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,0,0,0,0,0,1,0,0,0,0.000
볼카운트별,1-1,5,2,0,0,0,1,0,0,0,0.385
볼카운트별,2-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-1,1,0,0,0,3,0,0,0,0,0.500
볼카운트별,0-2,1,1,0,0,0,1,6,0,0,0.100
볼카운트별,1-2,2,0,0,0,0,0,8,0,0,0.143
볼카운트별,2-2,4,1,0,0,0,0,6,0,0,0.250
볼카운트별,3-2,3,0,0,0,5,0,2,0,0,0.375
이닝별,1회,0,0,0,0,3,0,6,0,0,0.000
이닝별,2회,5,1,0,0,0,2,3,0,0,0.263
이닝별,3회,7,2,0,0,5,2,3,0,0,0.389
이닝별,4회,4,2,0,0,1,1,5,0,0,0.308
이닝별,5회,2,0,0,0,0,0,3,0,0,0.286
이닝별,6회,2,0,0,0,1,0,2,0,0,0.333
이닝별,1~3회,12,3,0,0,8,4,12,0,0,0.231
이닝별,4~6회,8,2,0,0,2,1,10,0,0,0.308
타순별,1번타자,3,1,0,0,1,0,2,0,0,0.273
타순별,2번타자,4,0,0,0,1,0,0,0,0,0.400
타순별,3번타자,1,1,0,0,4,0,5,0,0,0.125
타순별,4번타자,2,1,0,0,0,1,3,0,0,0.222
타순별,5번타자,2,0,0,0,0,1,5,0,0,0.182
타순별,6번타자,0,0,0,0,1,0,2,0,0,0.000
타순별,7번타자,2,1,0,0,0,2,2,0,0,0.286
타순별,8번타자,4,1,0,0,2,0,2,0,0,0.571
타순별,9번타자,2,0,0,0,1,1,1,0,0,0.333
타순별,상위(1~2번),7,1,0,0,2,0,2,0,0,0.333
타순별,중심(3~5번),5,2,0,0,4,2,13,0,0,0.179
타순별,하위(6~9번),8,2,0,0,4,3,7,0,0,0.276
타자유형별,좌타자,10,0,0,0,3,2,5,0,0,0.333
타자유형별,우타자,10,5,0,0,7,3,17,0,0,0.208
아웃카운트별,0아웃,5,0,0,0,2,0,7,0,0,0.192
아웃카운트별,1아웃,6,1,0,0,5,3,5,0,0,0.250
아웃카운트별,2아웃,9,4,0,0,3,2,10,0,0,0.321
