분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,3.38,0,0,0,0,-,20,5 1/3,5,0,2,0,3,2,2,0.278
상대팀별,NC,1,1.29,1,0,0,0,1.000,27,7,6,1,1,0,6,1,1,0.231
상대팀별,롯데,1,2.25,0,1,0,0,0.000,20,4,6,0,1,0,5,3,1,0.333
상대팀별,한화,1,1.50,1,0,0,0,1.000,22,6,4,0,0,0,7,1,1,0.182
구장별,대전,1,1.50,1,0,0,0,1.000,22,6,4,0,0,0,7,1,1,0.182
구장별,사직,1,2.25,0,1,0,0,0.000,20,4,6,0,1,0,5,3,1,0.333
구장별,수원,1,3.38,0,0,0,0,-,20,5 1/3,5,0,2,0,3,2,2,0.278
구장별,창원,1,1.29,1,0,0,0,1.000,27,7,6,1,1,0,6,1,1,0.231
월별,3~4월,4,2.01,2,1,0,0,0.667,89,22 1/3,21,1,4,0,21,7,5,0.250
요일별,화,1,3.38,0,0,0,0,-,20,5 1/3,5,0,2,0,3,2,2,0.278
요일별,수,2,1.64,1,1,0,0,0.500,47,11,12,1,2,0,11,4,2,0.273
요일별,목,1,1.50,1,0,0,0,1.000,22,6,4,0,0,0,7,1,1,0.182
홈/방문별,홈,1,3.38,0,0,0,0,-,20,5 1/3,5,0,2,0,3,2,2,0.278
홈/방문별,방문,3,1.59,2,1,0,0,0.667,69,17,16,1,2,0,18,5,3,0.242
주/야간별,야간,4,2.01,2,1,0,0,0.667,89,22 1/3,21,1,4,0,21,7,5,0.250
기간별,전반기,4,2.01,2,1,0,0,0.667,89,22 1/3,21,1,4,0,21,7,5,0.250
