분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,13,2,0,1,3,0,14,0,0,0.236
주자상황별,1루,6,1,0,0,0,0,3,0,0,0.429
주자상황별,"1,2루",1,0,0,0,0,0,0,0,0,0.333
주자상황별,"1,3루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,2루,1,0,0,0,1,0,1,0,0,0.200
주자상황별,"2,3루",0,0,0,0,0,0,1,0,0,0.000
주자상황별,3루,0,0,0,0,0,0,2,0,0,0.000
주자상황별,주자있음,8,1,0,0,1,0,7,0,0,0.276
주자상황별,득점권,2,0,0,0,1,0,4,0,0,0.133
볼카운트별,0-0,1,1,0,0,0,0,0,0,0,0.200
볼카운트별,1-0,4,0,0,0,0,0,0,0,0,0.500
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,0-1,2,0,0,1,0,0,0,0,0,0.286
볼카운트별,1-1,2,1,0,0,0,0,0,0,0,0.200
볼카운트별,2-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-1,0,0,0,0,1,0,0,0,0,-
볼카운트별,0-2,4,1,0,0,0,0,7,0,0,0.333
볼카운트별,1-2,2,0,0,0,0,0,8,0,0,0.118
볼카운트별,2-2,5,0,0,0,0,0,2,0,0,0.556
볼카운트별,3-2,1,0,0,0,3,0,4,0,0,0.091
이닝별,1회,1,0,0,0,0,0,4,0,0,0.077
이닝별,2회,4,1,0,0,2,0,5,0,0,0.267
이닝별,3회,4,0,0,0,2,0,3,0,0,0.308
이닝별,4회,4,1,0,0,0,0,4,0,0,0.250
이닝별,5회,0,0,0,0,0,0,2,0,0,0.000
이닝별,6회,5,0,0,0,0,0,1,0,0,0.417
이닝별,7회,3,1,0,1,0,0,2,0,0,0.500
이닝별,1~3회,9,1,0,0,4,0,12,0,0,0.220
이닝별,4~6회,9,1,0,0,0,0,7,0,0,0.243
이닝별,7회이후,3,1,0,1,0,0,2,0,0,0.500
타순별,1번타자,4,0,0,0,1,0,1,0,0,0.364
타순별,2번타자,4,0,0,0,1,0,4,0,0,0.364
타순별,3번타자,4,0,0,0,0,0,2,0,0,0.400
타순별,4번타자,2,0,0,1,0,0,3,0,0,0.200
타순별,5번타자,0,0,0,0,1,0,4,0,0,0.000
타순별,6번타자,3,2,0,0,0,0,2,0,0,0.333
타순별,7번타자,2,1,0,0,1,0,1,0,0,0.250
타순별,8번타자,1,0,0,0,0,0,3,0,0,0.125
타순별,9번타자,1,0,0,0,0,0,1,0,0,0.111
타순별,상위(1~2번),8,0,0,0,2,0,5,0,0,0.364
타순별,중심(3~5번),6,0,0,1,1,0,9,0,0,0.214
타순별,하위(6~9번),7,3,0,0,1,0,7,0,0,0.206
타자유형별,좌타자,4,0,0,0,1,0,4,0,0,0.167
타자유형별,우타자,17,3,0,1,3,0,17,0,0,0.283
아웃카운트별,0아웃,5,1,0,1,1,0,6,0,0,0.172
아웃카운트별,1아웃,8,1,0,0,0,0,7,0,0,0.308
아웃카운트별,2아웃,8,1,0,0,3,0,8,0,0,0.276
