분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,LG,1,0.00,1,0,0,0,1.000,21,6,3,0,1,0,3,0,0,0.150
상대팀별,NC,1,0.00,1,0,0,0,1.000,25,7,3,0,0,0,5,0,0,0.120
상대팀별,두산,1,1.42,0,0,0,0,-,28,6 1/3,4,0,2,2,5,2,1,0.174
상대팀별,한화,1,3.60,1,0,0,0,1.000,23,5,5,0,4,0,7,2,2,0.263
구장별,광주,1,0.00,1,0,0,0,1.000,25,7,3,0,0,0,5,0,0,0.120
구장별,대전,1,3.60,1,0,0,0,1.000,23,5,5,0,4,0,7,2,2,0.263
구장별,잠실,2,0.73,1,0,0,0,1.000,49,12 1/3,7,0,3,2,8,2,1,0.163
월별,3~4월,4,1.11,3,0,0,0,1.000,97,24 1/3,15,0,7,2,20,4,3,0.172
요일별,화,1,0.00,1,0,0,0,1.000,21,6,3,0,1,0,3,0,0,0.150
요일별,토,1,1.42,0,0,0,0,-,28,6 1/3,4,0,2,2,5,2,1,0.174
요일별,일,2,1.50,2,0,0,0,1.000,48,12,8,0,4,0,12,2,2,0.182
홈/방문별,홈,1,0.00,1,0,0,0,1.000,25,7,3,0,0,0,5,0,0,0.120
홈/방문별,방문,3,1.56,2,0,0,0,1.000,72,17 1/3,12,0,7,2,15,4,3,0.194
주/야간별,주간,2,1.50,2,0,0,0,1.000,48,12,8,0,4,0,12,2,2,0.182
주/야간별,야간,2,0.73,1,0,0,0,1.000,49,12 1/3,7,0,3,2,8,2,1,0.163
기간별,전반기,4,1.11,3,0,0,0,1.000,97,24 1/3,15,0,7,2,20,4,3,0.172
