분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,10,1,0,0,3,1,12,0,0,0.189
주자상황별,1루,2,1,0,0,2,1,4,0,0,0.100
주자상황별,"1,2루",0,0,0,0,1,0,1,0,0,0.000
주자상황별,만루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,"1,3루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,2루,1,0,0,0,1,0,0,1,0,0.333
주자상황별,"2,3루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,3루,2,0,0,0,0,0,2,0,0,0.400
주자상황별,주자있음,5,1,0,0,4,1,8,1,0,0.147
주자상황별,득점권,3,0,0,0,2,0,4,1,0,0.214
볼카운트별,0-0,3,0,0,0,0,0,0,0,0,0.214
볼카운트별,1-0,3,1,0,0,0,0,0,0,0,0.600
볼카운트별,2-0,1,1,0,0,0,0,0,0,0,0.333
볼카운트별,0-1,1,0,0,0,0,0,0,0,0,0.100
볼카운트별,1-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,2-1,3,0,0,0,0,0,0,0,0,0.429
볼카운트별,3-1,0,0,0,0,4,0,0,0,0,-
볼카운트별,0-2,1,0,0,0,0,0,9,0,0,0.091
볼카운트별,1-2,0,0,0,0,0,1,4,0,0,0.000
볼카운트별,2-2,1,0,0,0,0,1,7,1,0,0.063
볼카운트별,3-2,2,0,0,0,3,0,0,0,0,0.333
이닝별,1회,0,0,0,0,3,0,4,0,0,0.000
이닝별,2회,0,0,0,0,1,2,5,0,0,0.000
이닝별,3회,6,1,0,0,0,0,2,1,0,0.333
이닝별,4회,2,0,0,0,0,0,3,0,0,0.143
이닝별,5회,2,0,0,0,2,0,2,0,0,0.143
이닝별,6회,4,1,0,0,1,0,2,0,0,0.308
이닝별,7회,1,0,0,0,0,0,2,0,0,0.200
이닝별,1~3회,6,1,0,0,4,2,11,1,0,0.146
이닝별,4~6회,8,1,0,0,3,0,7,0,0,0.195
이닝별,7회이후,1,0,0,0,0,0,2,0,0,0.200
타순별,1번타자,1,0,0,0,1,0,2,0,0,0.091
타순별,2번타자,4,2,0,0,2,0,1,1,0,0.400
타순별,3번타자,2,0,0,0,1,0,1,0,0,0.182
타순별,4번타자,0,0,0,0,2,0,3,0,0,0.000
타순별,5번타자,1,0,0,0,1,0,3,0,0,0.100
타순별,6번타자,1,0,0,0,0,0,4,0,0,0.100
타순별,7번타자,0,0,0,0,0,0,3,0,0,0.000
타순별,8번타자,2,0,0,0,0,1,3,0,0,0.250
타순별,9번타자,4,0,0,0,0,1,0,0,0,0.500
타순별,상위(1~2번),5,2,0,0,3,0,3,1,0,0.238
타순별,중심(3~5번),3,0,0,0,4,0,7,0,0,0.100
타순별,하위(6~9번),7,0,0,0,0,2,10,0,0,0.194
타자유형별,좌타자,9,2,0,0,6,1,5,1,0,0.231
타자유형별,우타자,6,0,0,0,1,1,15,0,0,0.125
아웃카운트별,0아웃,5,1,0,0,2,0,4,0,0,0.172
아웃카운트별,1아웃,4,0,0,0,1,2,9,0,0,0.148
아웃카운트별,2아웃,6,1,0,0,4,0,7,1,0,0.194
