분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,7.50,0,1,0,0,0.000,28,6,12,1,0,0,2,5,5,0.480
상대팀별,LG,1,7.20,0,1,0,0,0.000,26,5,8,0,2,1,5,4,4,0.364
상대팀별,SSG,1,3.00,0,1,0,0,0.000,26,6,7,1,0,0,4,3,2,0.280
상대팀별,롯데,1,0.00,0,0,0,0,-,27,7,5,0,0,0,6,0,0,0.185
구장별,고척,2,3.00,0,1,0,0,0.000,53,12,13,0,2,1,11,4,4,0.265
구장별,문학,1,3.00,0,1,0,0,0.000,26,6,7,1,0,0,4,3,2,0.280
구장별,수원,1,7.50,0,1,0,0,0.000,28,6,12,1,0,0,2,5,5,0.480
월별,3~4월,4,4.13,0,3,0,0,0.000,107,24,32,2,2,1,17,12,11,0.323
요일별,화,1,3.00,0,1,0,0,0.000,26,6,7,1,0,0,4,3,2,0.280
요일별,금,1,7.50,0,1,0,0,0.000,28,6,12,1,0,0,2,5,5,0.480
요일별,토,1,0.00,0,0,0,0,-,27,7,5,0,0,0,6,0,0,0.185
요일별,일,1,7.20,0,1,0,0,0.000,26,5,8,0,2,1,5,4,4,0.364
홈/방문별,홈,2,3.00,0,1,0,0,0.000,53,12,13,0,2,1,11,4,4,0.265
홈/방문별,방문,2,5.25,0,2,0,0,0.000,54,12,19,2,0,0,6,8,7,0.380
주/야간별,주간,1,7.20,0,1,0,0,0.000,26,5,8,0,2,1,5,4,4,0.364
주/야간별,야간,3,3.32,0,2,0,0,0.000,81,19,24,2,0,0,12,8,7,0.312
기간별,전반기,4,4.13,0,3,0,0,0.000,107,24,32,2,2,1,17,12,11,0.323
