분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,15,1,0,2,0,1,8,0,0,0.254
주자상황별,1루,11,4,0,0,1,0,6,0,0,0.550
주자상황별,"1,2루",2,0,0,0,0,0,2,0,0,0.222
주자상황별,만루,0,0,0,0,0,0,0,0,0,0.000
주자상황별,"1,3루",0,0,0,0,1,0,0,0,0,0.000
주자상황별,2루,1,0,0,0,0,0,0,0,0,0.250
주자상황별,"2,3루",2,0,0,0,0,0,0,0,0,0.667
주자상황별,3루,1,0,0,0,0,0,1,0,0,0.500
주자상황별,주자있음,17,4,0,0,2,0,9,0,0,0.425
주자상황별,득점권,6,0,0,0,1,0,3,0,0,0.300
볼카운트별,0-0,9,1,0,0,0,0,0,0,0,0.529
볼카운트별,1-0,4,0,0,0,0,0,0,0,0,0.571
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,0-1,2,1,0,0,0,0,0,0,0,0.286
볼카운트별,1-1,4,0,0,1,0,0,0,0,0,0.400
볼카운트별,2-1,1,1,0,0,0,0,0,0,0,0.125
볼카운트별,3-1,2,1,0,0,1,0,0,0,0,0.667
볼카운트별,0-2,3,0,0,1,0,0,3,0,0,0.429
볼카운트별,1-2,1,0,0,0,0,1,6,0,0,0.067
볼카운트별,2-2,2,0,0,0,0,0,6,0,0,0.167
볼카운트별,3-2,4,1,0,0,1,0,2,0,0,0.364
이닝별,1회,7,1,0,1,0,0,5,0,0,0.412
이닝별,2회,5,0,0,0,0,0,6,0,0,0.333
이닝별,3회,6,1,0,0,0,0,3,0,0,0.333
이닝별,4회,7,1,0,1,2,0,0,0,0,0.368
이닝별,5회,1,0,0,0,0,1,3,0,0,0.077
이닝별,6회,6,2,0,0,0,0,0,0,0,0.429
이닝별,7회,0,0,0,0,0,0,0,0,0,0.000
이닝별,1~3회,18,2,0,1,0,0,14,0,0,0.360
이닝별,4~6회,14,3,0,1,2,1,3,0,0,0.304
이닝별,7회이후,0,0,0,0,0,0,0,0,0,0.000
타순별,1번타자,4,1,0,0,1,0,2,0,0,0.333
타순별,2번타자,4,0,0,1,0,0,3,0,0,0.333
타순별,3번타자,3,1,0,0,1,0,4,0,0,0.273
타순별,4번타자,4,1,0,1,0,0,0,0,0,0.364
타순별,5번타자,4,0,0,0,0,0,2,0,0,0.364
타순별,6번타자,4,0,0,0,0,0,2,0,0,0.364
타순별,7번타자,6,2,0,0,0,1,0,0,0,0.545
타순별,8번타자,2,0,0,0,0,0,3,0,0,0.182
타순별,9번타자,1,0,0,0,0,0,1,0,0,0.111
타순별,상위(1~2번),8,1,0,1,1,0,5,0,0,0.333
타순별,중심(3~5번),11,2,0,1,1,0,6,0,0,0.333
타순별,하위(6~9번),13,2,0,0,0,1,6,0,0,0.310
타자유형별,좌타자,15,3,0,0,1,1,10,0,0,0.294
타자유형별,우타자,17,2,0,2,1,0,7,0,0,0.354
아웃카운트별,0아웃,12,3,0,1,0,0,5,0,0,0.343
아웃카운트별,1아웃,7,1,0,0,1,0,6,0,0,0.259
아웃카운트별,2아웃,13,1,0,1,1,1,6,0,0,0.351
