분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,1.50,0,0,0,0,-,22,6,6,0,0,0,5,1,1,0.273
상대팀별,LG,1,5.40,0,1,0,0,0.000,21,5,6,1,3,0,6,3,3,0.353
상대팀별,두산,1,0.00,1,0,0,0,1.000,25,6 1/3,5,0,2,0,4,3,0,0.217
상대팀별,삼성,1,0.00,0,1,0,0,0.000,26,5,6,0,3,1,6,3,0,0.273
상대팀별,키움,1,5.06,1,0,0,0,1.000,22,5 1/3,4,0,1,1,5,3,3,0.200
구장별,대전,3,2.20,1,1,0,0,0.500,70,16 1/3,16,0,4,2,16,7,4,0.250
구장별,잠실,2,2.38,1,1,0,0,0.500,46,11 1/3,11,1,5,0,10,6,3,0.275
월별,3~4월,5,2.28,2,2,0,0,0.500,116,27 2/3,27,1,9,2,26,13,7,0.260
요일별,수,1,5.40,0,1,0,0,0.000,21,5,6,1,3,0,6,3,3,0.353
요일별,목,1,0.00,0,1,0,0,0.000,26,5,6,0,3,1,6,3,0,0.273
요일별,토,2,0.73,1,0,0,0,1.000,47,12 1/3,11,0,2,0,9,4,1,0.244
요일별,일,1,5.06,1,0,0,0,1.000,22,5 1/3,4,0,1,1,5,3,3,0.200
홈/방문별,홈,3,2.20,1,1,0,0,0.500,70,16 1/3,16,0,4,2,16,7,4,0.250
홈/방문별,방문,2,2.38,1,1,0,0,0.500,46,11 1/3,11,1,5,0,10,6,3,0.275
주/야간별,주간,3,2.04,2,0,0,0,1.000,69,17 2/3,15,0,3,1,14,7,4,0.231
주/야간별,야간,2,2.70,0,2,0,0,0.000,47,10,12,1,6,1,12,6,3,0.308
기간별,전반기,5,2.28,2,2,0,0,0.500,116,27 2/3,27,1,9,2,26,13,7,0.260
