분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,13,2,0,0,6,2,11,0,0,0.265
주자상황별,1루,6,1,0,1,1,0,7,0,0,0.222
주자상황별,"1,2루",3,1,0,0,0,0,4,1,0,0.300
주자상황별,"1,3루",1,0,0,0,0,0,1,0,0,0.200
주자상황별,2루,4,1,0,0,1,0,3,0,0,0.333
주자상황별,"2,3루",0,0,0,0,1,0,0,0,0,0.000
주자상황별,주자있음,14,3,0,1,3,0,15,1,0,0.255
주자상황별,득점권,8,2,0,0,2,0,8,1,0,0.286
볼카운트별,0-0,6,3,0,1,0,2,0,0,0,0.500
볼카운트별,1-0,3,0,0,0,0,0,0,1,0,0.375
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,2,0,0,0,0,0,0,0,0,0.222
볼카운트별,1-1,5,0,0,0,0,0,0,0,0,0.357
볼카운트별,2-1,2,1,0,0,0,0,0,0,0,0.667
볼카운트별,3-1,0,0,0,0,1,0,0,0,0,0.000
볼카운트별,0-2,1,0,0,0,0,0,4,0,0,0.091
볼카운트별,1-2,3,1,0,0,0,0,6,0,0,0.188
볼카운트별,2-2,3,0,0,0,0,0,7,0,0,0.200
볼카운트별,3-2,2,0,0,0,6,0,9,0,0,0.143
이닝별,1회,1,0,0,0,2,1,5,0,0,0.063
이닝별,2회,7,2,0,1,1,0,4,0,0,0.318
이닝별,3회,4,0,0,0,1,0,7,0,0,0.211
이닝별,4회,3,0,0,0,2,0,5,0,0,0.200
이닝별,5회,8,3,0,0,1,0,4,0,0,0.364
이닝별,6회,2,0,0,0,2,1,1,1,0,0.286
이닝별,7회,2,0,0,0,0,0,0,0,0,0.667
이닝별,1~3회,12,2,0,1,4,1,16,0,0,0.211
이닝별,4~6회,13,3,0,0,5,1,10,1,0,0.295
이닝별,7회이후,2,0,0,0,0,0,0,0,0,0.667
타순별,1번타자,4,1,0,0,1,1,3,0,0,0.308
타순별,2번타자,4,1,0,0,1,1,4,0,0,0.308
타순별,3번타자,1,0,0,0,2,0,3,0,0,0.077
타순별,4번타자,0,0,0,0,2,0,3,1,0,0.000
타순별,5번타자,5,1,0,0,2,0,2,0,0,0.500
타순별,6번타자,1,0,0,0,1,0,4,0,0,0.091
타순별,7번타자,5,1,0,0,0,0,1,0,0,0.417
타순별,8번타자,5,1,0,1,0,0,3,0,0,0.455
타순별,9번타자,2,0,0,0,0,0,3,0,0,0.222
타순별,상위(1~2번),8,2,0,0,2,2,7,0,0,0.308
타순별,중심(3~5번),6,1,0,0,6,0,8,1,0,0.171
타순별,하위(6~9번),13,2,0,1,1,0,11,0,0,0.302
타자유형별,좌타자,10,3,0,0,7,2,12,0,0,0.256
타자유형별,우타자,17,2,0,1,2,0,14,1,0,0.262
아웃카운트별,0아웃,10,0,0,0,4,1,11,0,0,0.263
아웃카운트별,1아웃,8,2,0,0,4,1,11,1,0,0.235
아웃카운트별,2아웃,9,3,0,1,1,0,4,0,0,0.281
