분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,1.50,1,0,0,0,1.000,25,6,7,0,0,0,2,1,1,0.280
상대팀별,NC,1,4.50,0,0,0,0,-,20,4,4,0,4,0,4,2,2,0.250
상대팀별,롯데,1,1.29,0,1,0,0,0.000,24,7,3,1,0,0,3,1,1,0.125
상대팀별,한화,1,0.00,1,0,0,0,1.000,25,8,1,0,1,0,7,0,0,0.042
구장별,잠실,3,0.86,2,1,0,0,0.667,74,21,11,1,1,0,12,2,2,0.151
구장별,창원,1,4.50,0,0,0,0,-,20,4,4,0,4,0,4,2,2,0.250
월별,3~4월,4,1.44,2,1,0,0,0.667,94,25,15,1,5,0,16,4,4,0.169
요일별,수,3,1.42,1,1,0,0,0.500,69,19,8,1,5,0,14,3,3,0.125
요일별,목,1,1.50,1,0,0,0,1.000,25,6,7,0,0,0,2,1,1,0.280
홈/방문별,홈,3,0.86,2,1,0,0,0.667,74,21,11,1,1,0,12,2,2,0.151
홈/방문별,방문,1,4.50,0,0,0,0,-,20,4,4,0,4,0,4,2,2,0.250
주/야간별,야간,4,1.44,2,1,0,0,0.667,94,25,15,1,5,0,16,4,4,0.169
기간별,전반기,4,1.44,2,1,0,0,0.667,94,25,15,1,5,0,16,4,4,0.169
