분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,6.43,0,1,0,0,0.000,32,7,8,0,3,0,8,5,5,0.276
상대팀별,KT,1,4.50,0,1,0,0,0.000,28,6,9,1,0,0,5,5,3,0.333
상대팀별,롯데,1,11.25,0,1,0,0,0.000,21,4,9,0,0,0,2,5,5,0.429
상대팀별,삼성,1,2.57,0,0,0,0,-,26,7,4,1,1,0,5,2,2,0.160
상대팀별,한화,1,0.00,1,0,0,0,1.000,24,6,4,0,2,0,6,0,0,0.190
구장별,대구,1,2.57,0,0,0,0,-,26,7,4,1,1,0,5,2,2,0.160
구장별,사직,1,11.25,0,1,0,0,0.000,21,4,9,0,0,0,2,5,5,0.429
구장별,수원,1,4.50,0,1,0,0,0.000,28,6,9,1,0,0,5,5,3,0.333
구장별,잠실,2,3.46,1,1,0,0,0.500,56,13,12,0,5,0,14,5,5,0.240
월별,3~4월,5,4.50,1,3,0,0,0.250,131,30,34,2,6,0,26,17,15,0.276
요일별,화,1,2.57,0,0,0,0,-,26,7,4,1,1,0,5,2,2,0.160
요일별,목,1,11.25,0,1,0,0,0.000,21,4,9,0,0,0,2,5,5,0.429
요일별,금,1,6.43,0,1,0,0,0.000,32,7,8,0,3,0,8,5,5,0.276
요일별,토,1,4.50,0,1,0,0,0.000,28,6,9,1,0,0,5,5,3,0.333
요일별,일,1,0.00,1,0,0,0,1.000,24,6,4,0,2,0,6,0,0,0.190
홈/방문별,홈,2,3.46,1,1,0,0,0.500,56,13,12,0,5,0,14,5,5,0.240
홈/방문별,방문,3,5.29,0,2,0,0,0.000,75,17,22,2,1,0,12,12,10,0.301
주/야간별,주간,1,0.00,1,0,0,0,1.000,24,6,4,0,2,0,6,0,0,0.190
주/야간별,야간,4,5.63,0,3,0,0,0.000,107,24,30,2,4,0,20,17,15,0.294
기간별,전반기,5,4.50,1,3,0,0,0.250,131,30,34,2,6,0,26,17,15,0.276
