분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,18,2,0,2,2,0,14,0,0,0.261
주자상황별,1루,6,3,0,0,4,0,6,0,0,0.231
주자상황별,"1,2루",3,2,0,0,0,0,4,0,0,0.429
주자상황별,"1,3루",0,0,0,0,0,0,0,0,0,0.000
주자상황별,2루,5,1,0,0,0,0,1,0,0,0.417
주자상황별,"2,3루",2,0,0,0,0,0,1,0,0,0.333
주자상황별,3루,0,0,0,0,0,0,0,0,0,0.000
주자상황별,주자있음,16,6,0,0,4,0,12,0,0,0.296
주자상황별,득점권,10,3,0,0,0,0,6,0,0,0.357
볼카운트별,0-0,5,1,0,0,0,0,0,0,0,0.294
볼카운트별,1-0,3,2,0,0,0,0,0,0,0,0.333
볼카운트별,2-0,1,0,0,0,0,0,0,0,0,1.000
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,4,3,0,0,0,0,0,0,0,0.308
볼카운트별,1-1,3,0,0,0,0,0,0,0,0,0.333
볼카운트별,2-1,5,0,0,1,0,0,0,0,0,0.833
볼카운트별,3-1,0,0,0,0,3,0,0,0,0,0.000
볼카운트별,0-2,2,0,0,0,0,0,4,0,0,0.154
볼카운트별,1-2,6,1,0,1,0,0,16,0,0,0.171
볼카운트별,2-2,3,1,0,0,0,0,5,0,0,0.250
볼카운트별,3-2,2,0,0,0,1,0,1,0,0,0.500
이닝별,1회,8,1,0,0,1,0,0,0,0,0.348
이닝별,2회,3,2,0,0,0,0,4,0,0,0.158
이닝별,3회,8,2,0,0,1,0,6,0,0,0.381
이닝별,4회,6,2,0,0,2,0,4,0,0,0.273
이닝별,5회,4,0,0,1,1,0,3,0,0,0.267
이닝별,6회,2,0,0,0,0,0,7,0,0,0.143
이닝별,7회,3,1,0,1,1,0,2,0,0,0.333
이닝별,1~3회,19,5,0,0,2,0,10,0,0,0.302
이닝별,4~6회,12,2,0,1,3,0,14,0,0,0.235
이닝별,7회이후,3,1,0,1,1,0,2,0,0,0.333
타순별,1번타자,2,1,0,0,0,0,2,0,0,0.125
타순별,2번타자,6,0,0,0,1,0,1,0,0,0.400
타순별,3번타자,7,1,0,1,0,0,2,0,0,0.438
타순별,4번타자,1,1,0,0,3,0,4,0,0,0.083
타순별,5번타자,4,1,0,1,0,0,7,0,0,0.267
타순별,6번타자,2,0,0,0,1,0,3,0,0,0.154
타순별,7번타자,3,1,0,0,0,0,4,0,0,0.231
타순별,8번타자,3,1,0,0,0,0,2,0,0,0.231
타순별,9번타자,6,2,0,0,1,0,1,0,0,0.600
타순별,상위(1~2번),8,1,0,0,1,0,3,0,0,0.258
타순별,중심(3~5번),12,3,0,2,3,0,13,0,0,0.279
타순별,하위(6~9번),14,4,0,0,2,0,10,0,0,0.286
타자유형별,좌타자,11,2,0,1,1,0,12,0,0,0.234
타자유형별,우타자,23,6,0,1,5,0,14,0,0,0.303
아웃카운트별,0아웃,14,1,0,2,1,0,10,0,0,0.326
아웃카운트별,1아웃,7,2,0,0,2,0,8,0,0,0.189
아웃카운트별,2아웃,13,5,0,0,3,0,8,0,0,0.302
