분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,3.00,1,0,0,0,1.000,25,6,5,0,3,1,3,2,2,0.263
상대팀별,SSG,1,1.50,1,0,0,0,1.000,26,6,4,1,2,0,4,2,1,0.167
상대팀별,삼성,1,0.00,0,0,0,0,-,25,6,2,0,5,0,4,1,0,0.100
상대팀별,키움,1,0.00,1,0,0,0,1.000,24,5 2/3,3,0,4,1,6,0,0,0.158
구장별,대구,1,0.00,0,0,0,0,-,25,6,2,0,5,0,4,1,0,0.100
구장별,문학,1,1.50,1,0,0,0,1.000,26,6,4,1,2,0,4,2,1,0.167
구장별,잠실,2,1.54,2,0,0,0,1.000,49,11 2/3,8,0,7,2,9,2,2,0.211
월별,3~4월,4,1.14,3,0,0,0,1.000,100,23 2/3,14,1,14,2,17,5,3,0.171
요일별,화,1,1.50,1,0,0,0,1.000,26,6,4,1,2,0,4,2,1,0.167
요일별,수,1,0.00,1,0,0,0,1.000,24,5 2/3,3,0,4,1,6,0,0,0.158
요일별,목,1,0.00,0,0,0,0,-,25,6,2,0,5,0,4,1,0,0.100
요일별,일,1,3.00,1,0,0,0,1.000,25,6,5,0,3,1,3,2,2,0.263
홈/방문별,홈,2,1.54,2,0,0,0,1.000,49,11 2/3,8,0,7,2,9,2,2,0.211
홈/방문별,방문,2,0.75,1,0,0,0,1.000,51,12,6,1,7,0,8,3,1,0.136
주/야간별,주간,1,3.00,1,0,0,0,1.000,25,6,5,0,3,1,3,2,2,0.263
주/야간별,야간,3,0.51,2,0,0,0,1.000,75,17 2/3,9,1,11,1,14,3,1,0.143
기간별,전반기,4,1.14,3,0,0,0,1.000,100,23 2/3,14,1,14,2,17,5,3,0.171
