분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,9,2,0,0,8,1,6,0,0,0.225
주자상황별,1루,4,0,0,1,2,0,4,1,1,0.160
주자상황별,"1,2루",0,0,0,0,2,0,3,1,0,0.000
주자상황별,만루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,"1,3루",0,0,0,0,0,0,1,0,0,0.000
주자상황별,2루,0,0,0,0,2,1,2,0,0,0.000
주자상황별,"2,3루",1,0,0,0,0,0,0,0,0,0.500
주자상황별,주자있음,5,0,0,1,6,1,11,2,1,0.119
주자상황별,득점권,1,0,0,0,4,1,7,1,0,0.059
볼카운트별,0-0,1,1,0,0,0,0,0,0,0,0.143
볼카운트별,1-0,1,0,0,0,0,0,0,0,0,0.100
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,-
볼카운트별,3-0,0,0,0,0,4,0,0,0,0,-
볼카운트별,0-1,1,0,0,0,0,0,0,0,0,0.143
볼카운트별,1-1,1,0,0,0,0,1,0,0,0,0.167
볼카운트별,2-1,1,1,0,0,0,0,0,2,0,0.200
볼카운트별,3-1,0,0,0,0,4,0,0,0,0,-
볼카운트별,0-2,4,0,0,1,0,0,4,0,1,0.250
볼카운트별,1-2,4,0,0,0,0,1,5,0,0,0.222
볼카운트별,2-2,0,0,0,0,0,0,7,0,0,0.000
볼카운트별,3-2,1,0,0,0,6,0,1,0,0,0.333
이닝별,1회,1,0,0,0,4,0,4,0,0,0.071
이닝별,2회,4,0,0,1,0,0,3,0,0,0.250
이닝별,3회,2,0,0,0,6,0,3,1,0,0.167
이닝별,4회,4,1,0,0,1,0,1,0,1,0.286
이닝별,5회,1,1,0,0,1,2,4,0,0,0.077
이닝별,6회,2,0,0,0,2,0,2,1,0,0.154
이닝별,1~3회,7,0,0,1,10,0,10,1,0,0.167
이닝별,4~6회,7,2,0,0,4,2,7,1,1,0.175
타순별,1번타자,0,0,0,0,4,1,3,1,0,0.000
타순별,2번타자,1,0,0,0,4,1,0,0,0,0.143
타순별,3번타자,2,0,0,0,0,0,3,0,0,0.167
타순별,4번타자,4,1,0,0,2,0,0,0,0,0.400
타순별,5번타자,1,0,0,0,2,0,5,0,0,0.100
타순별,6번타자,1,0,0,0,1,0,1,0,0,0.100
타순별,7번타자,2,0,0,1,0,0,1,1,0,0.182
타순별,8번타자,1,0,0,0,0,0,3,0,0,0.125
타순별,9번타자,2,1,0,0,1,0,1,0,1,0.286
타순별,상위(1~2번),1,0,0,0,8,2,3,1,0,0.071
타순별,중심(3~5번),7,1,0,0,4,0,8,0,0,0.219
타순별,하위(6~9번),6,1,0,1,2,0,6,1,1,0.167
타자유형별,좌타자,11,2,0,1,13,2,11,2,1,0.200
타자유형별,우타자,3,0,0,0,1,0,6,0,0,0.111
아웃카운트별,0아웃,7,1,0,0,6,0,7,0,0,0.226
아웃카운트별,1아웃,3,0,0,1,3,1,6,0,0,0.111
아웃카운트별,2아웃,4,1,0,0,5,1,4,2,1,0.167
