분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,21.00,0,1,0,0,0.000,19,3,9,1,1,0,5,7,7,0.500
상대팀별,SSG,1,0.00,1,0,0,0,1.000,24,6,4,0,2,1,4,0,0,0.190
상대팀별,삼성,1,0.00,1,0,0,0,1.000,21,6,1,0,4,0,1,0,0,0.059
상대팀별,키움,1,1.50,1,0,0,0,1.000,24,6,2,1,2,1,7,1,1,0.095
구장별,고척,1,1.50,1,0,0,0,1.000,24,6,2,1,2,1,7,1,1,0.095
구장별,대구,1,0.00,1,0,0,0,1.000,21,6,1,0,4,0,1,0,0,0.059
구장별,잠실,2,7.00,1,1,0,0,0.500,43,9,13,1,3,1,9,7,7,0.333
월별,3~4월,4,3.43,3,1,0,0,0.750,88,21,16,2,9,2,17,8,8,0.208
요일별,화,1,21.00,0,1,0,0,0.000,19,3,9,1,1,0,5,7,7,0.500
요일별,일,3,0.50,3,0,0,0,1.000,69,18,7,1,8,2,12,1,1,0.119
홈/방문별,홈,2,7.00,1,1,0,0,0.500,43,9,13,1,3,1,9,7,7,0.333
홈/방문별,방문,2,0.75,2,0,0,0,1.000,45,12,3,1,6,1,8,1,1,0.079
주/야간별,주간,3,0.50,3,0,0,0,1.000,69,18,7,1,8,2,12,1,1,0.119
주/야간별,야간,1,21.00,0,1,0,0,0.000,19,3,9,1,1,0,5,7,7,0.500
기간별,전반기,4,3.43,3,1,0,0,0.750,88,21,16,2,9,2,17,8,8,0.208
