분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,9,3,0,1,5,2,7,0,0,0.237
주자상황별,1루,1,0,0,0,1,0,3,0,0,0.059
주자상황별,"1,2루",0,0,0,0,0,0,3,0,0,0.000
주자상황별,"1,3루",3,1,0,0,0,0,3,0,0,0.375
주자상황별,2루,3,0,0,1,2,0,1,0,0,0.333
주자상황별,3루,0,0,0,0,1,0,0,0,0,-
주자상황별,주자있음,7,1,0,1,4,0,10,0,0,0.179
주자상황별,득점권,6,1,0,1,3,0,7,0,0,0.273
볼카운트별,0-0,1,0,0,0,0,0,0,0,0,0.250
볼카운트별,1-0,4,1,0,1,0,0,0,0,0,0.667
볼카운트별,2-0,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-0,0,0,0,0,4,0,0,0,0,-
볼카운트별,0-1,3,0,0,1,0,1,0,0,0,0.231
볼카운트별,1-1,2,1,0,0,0,0,0,0,0,0.667
볼카운트별,2-1,0,0,0,0,0,0,0,0,0,0.000
볼카운트별,3-1,0,0,0,0,3,0,0,0,0,0.000
볼카운트별,0-2,1,0,0,0,0,0,4,0,0,0.100
볼카운트별,1-2,3,1,0,0,0,0,3,0,0,0.300
볼카운트별,2-2,2,1,0,0,0,0,6,0,0,0.111
볼카운트별,3-2,0,0,0,0,2,1,4,0,0,0.000
이닝별,1회,4,1,0,0,1,0,3,0,0,0.250
이닝별,2회,5,1,0,2,3,1,4,0,0,0.294
이닝별,3회,3,0,0,0,2,1,5,0,0,0.214
이닝별,4회,2,2,0,0,1,0,2,0,0,0.200
이닝별,5회,1,0,0,0,2,0,2,0,0,0.091
이닝별,6회,1,0,0,0,0,0,1,0,0,0.111
이닝별,1~3회,12,2,0,2,6,2,12,0,0,0.255
이닝별,4~6회,4,2,0,0,3,0,5,0,0,0.133
타순별,1번타자,2,0,0,0,0,0,1,0,0,0.167
타순별,2번타자,2,2,0,0,1,1,1,0,0,0.222
타순별,3번타자,3,0,0,1,2,0,1,0,0,0.333
타순별,4번타자,0,0,0,0,0,0,3,0,0,0.000
타순별,5번타자,3,0,0,0,0,0,2,0,0,0.300
타순별,6번타자,3,1,0,1,1,1,3,0,0,0.375
타순별,7번타자,2,1,0,0,0,0,2,0,0,0.250
타순별,8번타자,0,0,0,0,4,0,2,0,0,0.000
타순별,9번타자,1,0,0,0,1,0,2,0,0,0.143
타순별,상위(1~2번),4,2,0,0,1,1,2,0,0,0.190
타순별,중심(3~5번),6,0,0,1,2,0,6,0,0,0.207
타순별,하위(6~9번),6,2,0,1,6,1,9,0,0,0.222
타자유형별,좌타자,7,4,0,0,2,2,7,0,0,0.163
타자유형별,우타자,9,0,0,2,7,0,10,0,0,0.265
아웃카운트별,0아웃,4,0,0,0,3,1,4,0,0,0.154
아웃카운트별,1아웃,7,2,0,1,2,0,4,0,0,0.250
아웃카운트별,2아웃,5,2,0,1,4,1,9,0,0,0.217
