분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KIA,1,11.25,0,0,0,0,-,23,4,9,0,2,0,4,5,5,0.429
상대팀별,LG,1,12.27,0,1,0,0,0.000,23,3 2/3,8,1,3,1,5,5,5,0.444
상대팀별,두산,1,0.00,0,0,0,0,-,21,6,2,0,1,0,5,0,0,0.100
상대팀별,롯데,1,2.57,1,0,0,0,1.000,30,7,6,0,4,0,4,2,2,0.231
상대팀별,삼성,1,1.50,0,0,0,0,-,26,6,7,0,3,0,7,2,1,0.304
구장별,대구,1,1.50,0,0,0,0,-,26,6,7,0,3,0,7,2,1,0.304
구장별,문학,2,4.50,0,0,0,0,-,44,10,11,0,3,0,9,5,5,0.268
구장별,사직,1,2.57,1,0,0,0,1.000,30,7,6,0,4,0,4,2,2,0.231
구장별,잠실,1,12.27,0,1,0,0,0.000,23,3 2/3,8,1,3,1,5,5,5,0.444
월별,3~4월,5,4.39,1,1,0,0,0.500,123,26 2/3,32,1,13,1,25,14,13,0.296
요일별,목,2,0.75,0,0,0,0,-,47,12,9,0,4,0,12,2,1,0.209
요일별,금,2,5.91,1,1,0,0,0.500,53,10 2/3,14,1,7,1,9,7,7,0.318
요일별,토,1,11.25,0,0,0,0,-,23,4,9,0,2,0,4,5,5,0.429
홈/방문별,홈,2,4.50,0,0,0,0,-,44,10,11,0,3,0,9,5,5,0.268
홈/방문별,방문,3,4.32,1,1,0,0,0.500,79,16 2/3,21,1,10,1,16,9,8,0.313
주/야간별,주간,1,11.25,0,0,0,0,-,23,4,9,0,2,0,4,5,5,0.429
주/야간별,야간,4,3.18,1,1,0,0,0.500,100,22 2/3,23,1,11,1,21,9,8,0.264
기간별,전반기,5,4.39,1,1,0,0,0.500,123,26 2/3,32,1,13,1,25,14,13,0.296
