분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,18,2,0,0,7,0,12,0,0,0.346
주자상황별,1루,7,2,0,0,1,0,4,2,0,0.280
주자상황별,"1,2루",4,0,0,0,1,0,1,0,0,0.500
주자상황별,만루,1,0,0,0,0,0,1,0,0,0.333
주자상황별,"1,3루",0,0,0,0,1,0,0,0,0,0.000
주자상황별,2루,1,0,0,1,2,1,5,0,0,0.100
주자상황별,"2,3루",1,0,0,0,1,0,1,0,0,0.250
주자상황별,3루,0,0,0,0,0,0,1,0,0,0.000
주자상황별,주자있음,14,2,0,1,6,1,13,2,0,0.250
주자상황별,득점권,7,0,0,1,5,1,9,0,0,0.226
볼카운트별,0-0,3,0,0,0,0,0,0,0,0,0.231
볼카운트별,1-0,3,1,0,0,0,0,0,1,0,0.375
볼카운트별,2-0,1,1,0,0,0,0,0,0,0,0.333
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,3,0,0,1,0,0,0,0,0,0.231
볼카운트별,1-1,7,2,0,0,0,0,0,0,0,0.538
볼카운트별,2-1,1,0,0,0,0,0,0,0,0,0.200
볼카운트별,3-1,2,0,0,0,4,0,0,0,0,0.667
볼카운트별,0-2,0,0,0,0,0,0,6,0,0,0.000
볼카운트별,1-2,7,0,0,0,0,0,8,0,0,0.350
볼카운트별,2-2,3,0,0,0,0,1,9,1,0,0.231
볼카운트별,3-2,2,0,0,0,7,0,2,0,0,0.250
이닝별,1회,5,1,0,0,4,1,7,0,0,0.263
이닝별,2회,4,0,0,0,2,0,8,0,0,0.222
이닝별,3회,6,1,0,0,2,0,2,1,0,0.300
이닝별,4회,6,1,0,1,2,0,4,1,0,0.300
이닝별,5회,5,0,0,0,2,0,2,0,0,0.357
이닝별,6회,3,1,0,0,0,0,1,0,0,0.273
이닝별,7회,3,0,0,0,1,0,1,0,0,0.500
이닝별,1~3회,15,2,0,0,8,1,17,1,0,0.263
이닝별,4~6회,14,2,0,1,4,0,7,1,0,0.311
이닝별,7회이후,3,0,0,0,1,0,1,0,0,0.500
타순별,1번타자,4,0,0,0,4,0,2,1,0,0.333
타순별,2번타자,4,2,0,0,1,1,2,0,0,0.286
타순별,3번타자,4,0,0,1,3,0,4,0,0,0.308
타순별,4번타자,3,0,0,0,2,0,2,0,0,0.250
타순별,5번타자,5,0,0,0,0,0,3,0,0,0.385
타순별,6번타자,5,1,0,0,0,0,3,0,0,0.417
타순별,7번타자,4,1,0,0,1,0,2,1,0,0.364
타순별,8번타자,1,0,0,0,1,0,4,0,0,0.091
타순별,9번타자,2,0,0,0,1,0,3,0,0,0.200
타순별,상위(1~2번),8,2,0,0,5,1,4,1,0,0.308
타순별,중심(3~5번),12,0,0,1,5,0,9,0,0,0.316
타순별,하위(6~9번),12,2,0,0,3,0,12,1,0,0.273
타자유형별,좌타자,17,2,0,0,6,1,12,1,0,0.354
타자유형별,우타자,15,2,0,1,7,0,13,1,0,0.250
아웃카운트별,0아웃,14,2,0,0,4,1,9,0,0,0.350
아웃카운트별,1아웃,7,0,0,0,3,0,7,1,0,0.212
아웃카운트별,2아웃,11,2,0,1,6,0,9,1,0,0.314
